po_id,vendor_rfc,date,amount,requester,approver,description
PO-00080,DHG880501FDG,2026-04-17,42142.80,Carla Soto 03 00001204,Diego Luna 04 00001204,Suministro de insumos de produccion
PO-00206,DFV810222EKT,2026-02-13,47409.20,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Servicios de consultoria operativa
PO-00195,DGF910808EPT,2026-06-07,77420.72,Diego Luna 04 00001204,Elena Mora 05 00001204,Servicios de consultoria operativa
PO-00041,DGL970222EST,2026-02-20,28116.08,Carla Soto 03 00001204,Diego Luna 04 00001204,Servicios de logistica y entrega
PO-00338,DHT710808FJT,2026-04-09,49300.00,Bruno Garcia 08 00001204,Bruno Garcia 08 00001204,Insumo de seguridad
PO-00266,DHH890808FDT,2026-04-27,98062.92,Ana Ruiz 07 00001204,Bruno Garcia 08 00001204,Soporte y licencias de tecnologia
PO-00247,DHG880501FDG,2026-04-20,14522.04,Diego Luna 04 00001204,Elena Mora 05 00001204,Suministro de insumos de produccion
PO-00280,DGG921115EQG,2026-06-13,39289.20,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Servicios de logistica y entrega
PO-00178,DGU760501EXG,2026-05-29,49902.04,Elena Mora 05 00001204,Fabian Rios 06 00001204,Servicios de consultoria operativa
PO-00022,DGV770808EXT,2026-06-05,88933.72,Bruno Garcia 08 00001204,Carla Soto 09 00001204,Servicios de logistica y entrega
PO-00056,DHF870222FCT,2026-04-08,46891.84,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Servicios de logistica y entrega
PO-00146,DGI940501ERG,2026-01-14,99316.88,Bruno Garcia 02 00001204,Carla Soto 03 00001204,Soporte y licencias de tecnologia
PO-00061,DFY841115EMG,2026-03-20,82594.32,Carla Soto 03 00001204,Diego Luna 04 00001204,Soporte y licencias de tecnologia
PO-00303,DHT710808FJT,2026-04-07,49300.00,Bruno Garcia 08 00001204,Bruno Garcia 08 00001204,Mantenimiento mensual
PO-00250,DGG921115EQG,2026-06-15,49639.88,Diego Luna 04 00001204,Elena Mora 05 00001204,Servicios de logistica y entrega
PO-00069,DFP750808EHT,2026-03-05,35338.24,Carla Soto 03 00001204,Diego Luna 04 00001204,Cuota mensual: mantenimiento preventivo de instalaciones
PO-00188,DGU760501EXG,2026-05-25,91022.88,Ana Ruiz 07 00001204,Bruno Garcia 08 00001204,Servicios de consultoria operativa
PO-00140,DHS700501FJG,2026-04-04,69600.00,Carla Soto 03 00001204,Diego Luna 04 00001204,Mantenimiento preventivo de instalaciones
PO-00248,DFV810222EKT,2026-02-11,80282.44,Bruno Garcia 02 00001204,Carla Soto 03 00001204,Servicios de consultoria operativa
PO-00300,DGM980501ETG,2026-03-03,69533.88,Diego Luna 04 00001204,Elena Mora 05 00001204,Suministro de insumos de produccion
PO-00122,DGG921115EQG,2026-06-12,14221.60,Carla Soto 03 00001204,Diego Luna 04 00001204,Servicios de logistica y entrega
PO-00249,DGC881115EOG,2026-05-03,16654.12,Ana Ruiz 07 00001204,Bruno Garcia 08 00001204,Suministro de insumos de produccion
PO-00321,DFQ761115EIG,2026-03-05,45314.24,Carla Soto 09 00001204,Diego Luna 10 00001204,Cuota mensual: servicios de consultoria operativa
PO-00293,DGF910808EPT,2026-06-01,24218.48,Bruno Garcia 02 00001204,Carla Soto 03 00001204,Servicios de consultoria operativa
PO-00259,DGY800501EZG,2026-01-22,73324.76,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Mantenimiento preventivo de instalaciones
PO-00128,DFX830808ELT,2026-03-11,47942.80,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Suministro de insumos de produccion
PO-00167,DGW781115EYG,2026-06-19,68491.04,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Suministro de insumos de produccion
PO-00297,DGC881115EOG,2026-05-01,88743.48,Carla Soto 03 00001204,Diego Luna 04 00001204,Suministro de insumos de produccion
PO-00071,DGL970222EST,2026-02-21,39260.20,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Servicios de logistica y entrega
PO-00021,DGK961115ESG,2026-02-04,16925.56,Ana Ruiz 07 00001204,Bruno Garcia 08 00001204,Servicios de consultoria operativa
PO-00060,DHM941115FGG,2026-01-19,26100.00,Bruno Garcia 08 00001204,Carla Soto 09 00001204,Soporte y licencias de tecnologia
PO-00130,DHB830222FAT,2026-02-24,32352.40,Carla Soto 09 00001204,Diego Luna 10 00001204,Suministro de insumos de produccion
PO-00169,DGJ950808ERT,2026-01-24,62019.40,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Mantenimiento preventivo de instalaciones
PO-00355,DGT750222EWT,2026-05-20,73592.72,Bruno Garcia 08 00001204,Carla Soto 09 00001204,Mantenimiento preventivo de instalaciones
PO-00092,DHB830222FAT,2026-02-20,69119.76,Ana Ruiz 01 00001204,Bruno Garcia 02 00001204,Suministro de insumos de produccion
PO-00042,DGX790222EYT,2026-01-09,78566.80,Ana Ruiz 01 00001204,Bruno Garcia 02 00001204,Soporte y licencias de tecnologia
PO-00035,DHK920501FFG,2026-05-30,15450.04,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Servicios de logistica y entrega
PO-00222,DFS780501EJG,2026-01-13,19774.52,Ana Ruiz 07 00001204,Bruno Garcia 08 00001204,Suministro de insumos de produccion
PO-00273,DHK920501FFG,2026-06-01,14795.80,Diego Luna 04 00001204,Elena Mora 05 00001204,Servicios de logistica y entrega
PO-00323,DHH890808FDT,2026-04-29,83805.36,Ana Ruiz 01 00001204,Bruno Garcia 02 00001204,Soporte y licencias de tecnologia
PO-00121,DHL930808FFT,2026-06-12,31610.00,Elena Mora 05 00001204,Fabian Rios 06 00001204,Suministro de insumos de produccion
PO-00231,DHJ910222FET,2026-05-18,97999.12,Bruno Garcia 02 00001204,Carla Soto 03 00001204,Servicios de consultoria operativa
PO-00019,DGH930222EQT,2026-06-24,108092.28,Ana Ruiz 01 00001204,Bruno Garcia 02 00001204,Suministro de insumos de produccion
PO-00237,DHE861115FCG,2026-03-29,21128.24,Bruno Garcia 02 00001204,Carla Soto 03 00001204,Servicios de consultoria operativa
PO-00100,DFV810222EKT,2026-02-15,31859.40,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Servicios de consultoria operativa
PO-00171,DFW820501ELG,2026-02-28,27904.96,Elena Mora 05 00001204,Fabian Rios 06 00001204,Servicios de logistica y entrega
PO-00267,DFT790808EJT,2026-01-22,74995.16,Diego Luna 04 00001204,Elena Mora 05 00001204,Soporte y licencias de tecnologia
PO-00127,DFS780501EJG,2026-01-14,25422.56,Diego Luna 04 00001204,Elena Mora 05 00001204,Suministro de insumos de produccion
PO-00291,DFU801115EKG,2026-02-04,69069.88,Carla Soto 09 00001204,Diego Luna 10 00001204,Mantenimiento preventivo de instalaciones
PO-00177,DGX790222EYT,2026-01-10,69785.60,Bruno Garcia 08 00001204,Carla Soto 09 00001204,Soporte y licencias de tecnologia
PO-00076,DHH890808FDT,2026-04-30,109693.08,Bruno Garcia 08 00001204,Carla Soto 09 00001204,Soporte y licencias de tecnologia
PO-00141,DFP750808EHT,2026-02-05,35338.24,Bruno Garcia 02 00001204,Carla Soto 03 00001204,Cuota mensual: mantenimiento preventivo de instalaciones
PO-00001,DGC881115EOG,2026-05-02,108995.92,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Suministro de insumos de produccion
PO-00083,DGM980501ETG,2026-02-26,29538.24,Carla Soto 09 00001204,Diego Luna 10 00001204,Suministro de insumos de produccion
PO-00309,DFT790808EJT,2026-01-23,59427.96,Ana Ruiz 01 00001204,Bruno Garcia 02 00001204,Soporte y licencias de tecnologia
PO-00268,DGM980501ETG,2026-02-28,101373.56,Carla Soto 03 00001204,Diego Luna 04 00001204,Suministro de insumos de produccion
PO-00057,DFT790808EJT,2026-01-20,59185.52,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Soporte y licencias de tecnologia
PO-00298,DHA821115FAG,2026-02-09,93804.56,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Servicios de logistica y entrega
PO-00160,DGQ720501EVG,2026-04-12,109258.08,Diego Luna 10 00001204,Ana Ruiz 01 00001204,Servicios de logistica y entrega
PO-00254,DFS780501EJG,2026-01-11,82797.32,Carla Soto 03 00001204,Diego Luna 04 00001204,Suministro de insumos de produccion
PO-00221,DGH930222EQT,2026-06-23,96834.48,Diego Luna 04 00001204,Elena Mora 05 00001204,Suministro de insumos de produccion
PO-00050,DHL930808FFT,2026-06-14,55612.72,Carla Soto 09 00001204,Diego Luna 10 00001204,Suministro de insumos de produccion
PO-00322,DFU801115EKG,2026-02-06,69017.68,Carla Soto 03 00001204,Diego Luna 04 00001204,Mantenimiento preventivo de instalaciones
PO-00278,DGC881115EOG,2026-05-04,62118.00,Diego Luna 04 00001204,Elena Mora 05 00001204,Suministro de insumos de produccion
PO-00272,DGP710222EUT,2026-04-01,24956.24,Carla Soto 09 00001204,Diego Luna 10 00001204,Servicios de consultoria operativa
PO-00253,DHI901115FEG,2026-05-11,36592.20,Carla Soto 09 00001204,Diego Luna 10 00001204,Mantenimiento preventivo de instalaciones
PO-00115,DFY841115EMG,2026-03-19,70103.44,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Soporte y licencias de tecnologia
PO-00055,DFQ761115EIG,2026-01-05,45314.24,Ana Ruiz 07 00001204,Bruno Garcia 08 00001204,Cuota mensual: servicios de consultoria operativa
PO-00361,DHD850808FBT,2026-03-18,54699.80,Ana Ruiz 01 00001204,Bruno Garcia 02 00001204,Mantenimiento preventivo de instalaciones
PO-00110,DHC840501FBG,2026-03-05,98770.52,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Soporte y licencias de tecnologia
PO-00301,DGH930222EQT,2026-06-27,94884.52,Bruno Garcia 02 00001204,Carla Soto 03 00001204,Suministro de insumos de produccion
PO-00052,DGR730808EVT,2026-04-28,27272.76,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Suministro de insumos de produccion
PO-00123,DGO701115EUG,2026-03-25,52307.88,Fabian Rios 06 00001204,Ana Ruiz 07 00001204,Mantenimiento preventivo de instalaciones
PO-00283,DGB870808ENT,2026-04-20,95207.00,Bruno Garcia 02 00001204,Carla Soto 03 00001204,Servicios de logistica y entrega
