uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00091,YSD810214CCN,YRN950214BUN,2026-05-22,76368.00,12218.88,88586.88,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00233,YRO960521BVA,YRN950214BUN,2026-04-05,43039.00,6886.24,49925.24,Cuota mensual: mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00216,YRV730214BYN,YRN950214BUN,2026-03-01,12919.00,2067.04,14986.04,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00212,YSX710214CMN,YRN950214BUN,2026-01-18,12100.00,1936.00,14036.00,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00196,YSL890214CGN,YRN950214BUN,2026-03-03,60591.00,9694.56,70285.56,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00142,YTK840521CTA,YRN950214BUN,2026-06-14,65926.00,10548.16,76474.16,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00236,YSY720521CNA,YRN950214BUN,2026-01-31,25679.00,4108.64,29787.64,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00324,YRY761107CAA,YRN950214BUN,2026-03-27,62773.00,10043.68,72816.68,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00143,YTA741107COA,YRN950214BUN,2026-02-24,26165.00,4186.40,30351.40,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00056,YRT710828BXN,YRN950214BUN,2026-02-02,48325.00,7732.00,56057.00,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00122,YTK840521CTA,YRN950214BUN,2026-06-15,77600.00,12416.00,90016.00,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00109,YSF830828CDN,YRN950214BUN,2026-06-17,87335.00,13973.60,101308.60,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00005,YSC801107CCA,YRN950214BUN,2026-05-10,31287.00,5005.92,36292.92,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00241,YTC760521CPA,YRN950214BUN,2026-03-17,67760.00,10841.60,78601.60,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00034,YRN950214BUN,MCU860521ULA,2026-02-10,52086.00,8333.76,60419.76,Servicios comerciales facturados a credito,G03,03,PPD,cancelado
INV-00075,YRW740521BZA,YRN950214BUN,2026-03-10,50849.00,8135.84,58984.84,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00174,YST970214CKN,YRN950214BUN,2026-05-30,74334.00,11893.44,86227.44,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00035,YSP930214CIN,YRN950214BUN,2026-04-17,58396.00,9343.36,67739.36,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00283,YSM900521CHA,YRN950214BUN,2026-03-15,81895.00,13103.20,94998.20,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00194,YSQ940521CJA,YRN950214BUN,2026-04-26,87032.00,13925.12,100957.12,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00131,YST970214CKN,YRN950214BUN,2026-05-29,51290.00,8206.40,59496.40,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00360,YSN910828CHN,YRN950214BUN,2026-03-24,19003.00,3040.48,22043.48,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00051,YTD770828CPN,YRN950214BUN,2026-03-26,18179.00,2908.64,21087.64,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00024,YSM900521CHA,YRN950214BUN,2026-03-10,37735.00,6037.60,43772.60,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00037,YSW701107CMA,YRN950214BUN,2026-01-09,26444.00,4231.04,30675.04,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00191,YSS961107CKA,YRN950214BUN,2026-05-16,36354.00,5816.64,42170.64,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00347,YSS961107CKA,YRN950214BUN,2026-05-15,27230.00,4356.80,31586.80,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00006,YRX750828BZN,YRN950214BUN,2026-03-16,78092.00,12494.72,90586.72,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00204,YSM900521CHA,YRN950214BUN,2026-03-11,85272.00,13643.52,98915.52,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00032,YSD810214CCN,YRN950214BUN,2026-05-26,63565.00,10170.40,73735.40,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00253,YRT710828BXN,YRN950214BUN,2026-02-04,33144.00,5303.04,38447.04,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00327,YST970214CKN,YRN950214BUN,2026-05-26,70800.00,11328.00,82128.00,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00055,YSQ940521CJA,YRN950214BUN,2026-04-27,23792.00,3806.72,27598.72,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00165,YSL890214CGN,YRN950214BUN,2026-03-04,48322.00,7731.52,56053.52,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00126,YSR950828CJN,YRN950214BUN,2026-05-05,39650.00,6344.00,45994.00,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00217,YRU721107BYA,YRN950214BUN,2026-02-16,83681.00,13388.96,97069.96,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00160,YTB750214CON,YRN950214BUN,2026-03-03,25981.00,4156.96,30137.96,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00134,YSD810214CCN,YRN950214BUN,2026-05-27,45762.00,7321.92,53083.92,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00061,YRW740521BZA,YRN950214BUN,2026-03-12,46724.00,7475.84,54199.84,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00066,YSI860521CFA,YRN950214BUN,2026-01-28,50840.00,8134.40,58974.40,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00352,YST970214CKN,YRN950214BUN,2026-05-28,58042.00,9286.72,67328.72,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00010,YSB790828CBN,YRN950214BUN,2026-04-30,14209.00,2273.44,16482.44,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00147,YSI860521CFA,YRN950214BUN,2026-01-27,88205.00,14112.80,102317.80,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00307,YSU980521CLA,YRN950214BUN,2026-06-10,36930.00,5908.80,42838.80,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00058,YSC801107CCA,YRN950214BUN,2026-05-16,72234.00,11557.44,83791.44,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00207,YSI860521CFA,YRN950214BUN,2026-01-24,94273.00,15083.68,109356.68,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00275,YRQ981107BWA,YRN950214BUN,2026-01-05,20872.00,3339.52,24211.52,Cuota mensual: servicios de logistica y entrega,G03,03,PPD,vigente
INV-00270,YSQ940521CJA,YRN950214BUN,2026-04-24,23811.00,3809.76,27620.76,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00329,YRV730214BYN,YRN950214BUN,2026-02-27,45463.00,7274.08,52737.08,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00001,YRU721107BYA,YRN950214BUN,2026-02-11,12653.00,2024.48,14677.48,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00230,YTI821107CSA,YRN950214BUN,2026-05-24,89535.00,14325.60,103860.60,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00096,YSN910828CHN,YRN950214BUN,2026-03-26,17196.00,2751.36,19947.36,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00206,YRO960521BVA,YRN950214BUN,2026-06-05,43039.00,6886.24,49925.24,Cuota mensual: mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00047,YSE820521CDA,YRN950214BUN,2026-06-05,73249.00,11719.84,84968.84,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00219,YTK840521CTA,YRN950214BUN,2026-06-11,93073.00,14891.68,107964.68,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00335,YRT710828BXN,YRN950214BUN,2026-01-31,27756.00,4440.96,32196.96,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00008,YSO921107CIA,YRN950214BUN,2026-04-04,59402.00,9504.32,68906.32,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00260,YSY720521CNA,YRN950214BUN,2026-02-03,29986.00,4797.76,34783.76,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00094,YSX710214CMN,YRN950214BUN,2026-01-23,79188.00,12670.08,91858.08,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00358,YSF830828CDN,YRN950214BUN,2026-06-13,48028.00,7684.48,55712.48,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00317,YSU980521CLA,YRN950214BUN,2026-06-07,86843.00,13894.88,100737.88,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00342,YTB750214CON,YRN950214BUN,2026-03-07,42996.00,6879.36,49875.36,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00130,YRW740521BZA,YRN950214BUN,2026-03-09,92999.00,14879.84,107878.84,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00264,YSI860521CFA,YRN950214BUN,2026-01-30,16032.00,2565.12,18597.12,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00057,YSV990828CLN,YRN950214BUN,2026-06-20,90206.00,14432.96,104638.96,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00273,YSJ870828CFN,YRN950214BUN,2026-02-08,91289.00,14606.24,105895.24,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00310,YSZ730828CNN,YRN950214BUN,2026-02-11,70097.00,11215.52,81312.52,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00113,YTJ830214CSN,YRN950214BUN,2026-05-31,81597.00,13055.52,94652.52,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00014,YSA780521CBA,YRN950214BUN,2026-04-24,40533.00,6485.28,47018.28,Servicios de logistica y entrega,G03,03,PPD,vigente
