uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00055,YRI900727CGW,YQI940113BTW,2026-03-26,19373.00,3099.68,22472.68,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00224,YRU720727CMW,YQI940113BTW,2026-02-12,26614.00,4258.24,30872.24,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00036,YRB831006CDJ,YQI940113BTW,2026-06-26,82556.00,13208.96,95764.96,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00044,YQQ720113BXW,YQI940113BTW,2026-02-27,81001.00,12960.16,93961.16,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00129,YSD811006CRJ,YQI940113BTW,2026-05-19,81946.00,13111.36,95057.36,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00217,YQY800113CBW,YQI940113BTW,2026-05-26,67090.00,10734.40,77824.40,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00142,YRX750420COJ,YQI940113BTW,2026-03-16,53664.00,8586.24,62250.24,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00327,YRI900727CGW,YQI940113BTW,2026-03-24,78531.00,12564.96,91095.96,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00198,YRZ771006CPJ,YQI940113BTW,2026-04-04,14101.00,2256.16,16357.16,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00219,YRT710420CMJ,YQI940113BTW,2026-02-01,38006.00,6080.96,44086.96,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00234,YSC800727CQW,YQI940113BTW,2026-05-13,87794.00,14047.04,101841.04,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00012,YRU720727CMW,YQI940113BTW,2026-02-09,27767.00,4442.72,32209.72,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00249,YRL930420CIJ,YQI940113BTW,2026-04-25,17087.00,2733.92,19820.92,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00061,YQW780727CAW,YQI940113BTW,2026-05-05,77436.00,12389.76,89825.76,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00137,YRT710420CMJ,YQI940113BTW,2026-01-31,89532.00,14325.12,103857.12,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00317,YRC840113CDW,YQI940113BTW,2026-01-13,84883.00,13581.28,98464.28,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00188,YQR730420BYJ,YQI940113BTW,2026-03-05,45884.00,7341.44,53225.44,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00277,YQJ950420BUJ,YQI940113BTW,2026-05-05,26319.00,4211.04,30530.04,Cuota mensual: mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00222,YRG880113CFW,YQI940113BTW,2026-02-28,68676.00,10988.16,79664.16,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00098,YSA780113CPW,YQI940113BTW,2026-04-20,45022.00,7203.52,52225.52,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00270,YQL971006BVJ,YQI940113BTW,2026-05-05,28813.00,4610.08,33423.08,Cuota mensual: servicios de logistica y entrega,G03,03,PPD,vigente
INV-00160,YQK960727BUW,YQI940113BTW,2026-06-05,27804.00,4448.64,32252.64,Cuota mensual: servicios de consultoria operativa,G03,03,PPD,vigente
INV-00033,YRX750420COJ,YQI940113BTW,2026-03-13,44652.00,7144.32,51796.32,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00058,YRG880113CFW,YQI940113BTW,2026-03-02,80163.00,12826.08,92989.08,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00177,YRZ771006CPJ,YQI940113BTW,2026-04-10,62157.00,9945.12,72102.12,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00189,YRS700113CLW,YQI940113BTW,2026-01-19,18647.00,2983.52,21630.52,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00344,YRH890420CGJ,YQI940113BTW,2026-03-12,42295.00,6767.20,49062.20,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00191,YQQ720113BXW,YQI940113BTW,2026-03-01,93568.00,14970.88,108538.88,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00204,YRY760727COW,YQI940113BTW,2026-03-24,30761.00,4921.76,35682.76,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00045,YRJ911006CHJ,YQI940113BTW,2026-04-04,29012.00,4641.92,33653.92,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00024,YRC840113CDW,YQI940113BTW,2026-01-17,78033.00,12485.28,90518.28,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00133,YQK960727BUW,YQI940113BTW,2026-04-05,27804.00,4448.64,32252.64,Cuota mensual: servicios de consultoria operativa,G03,03,PPD,vigente
INV-00114,YRW740113CNW,YQI940113BTW,2026-03-08,51047.00,8167.52,59214.52,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00319,YRN951006CJJ,YQI940113BTW,2026-05-14,47570.00,7611.20,55181.20,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00341,YSH851006CTJ,YQI940113BTW,2026-02-12,41443.00,6630.88,48073.88,Paquete integrado de adecuacion de planta zona norte,G03,03,PPD,vigente
INV-00303,YRH890420CGJ,YQI940113BTW,2026-03-14,19520.00,3123.20,22643.20,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00342,YQR730420BYJ,YQI940113BTW,2026-03-06,31519.00,5043.04,36562.04,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00117,YQN990420BWJ,YQI940113BTW,2026-01-20,46564.00,7450.24,54014.24,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00297,YRD850420CEJ,YQI940113BTW,2026-01-25,87989.00,14078.24,102067.24,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00281,YRD850420CEJ,YQI940113BTW,2026-01-28,30661.00,4905.76,35566.76,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00238,YQI940113BTW,IMQ840113ZXW,2026-01-30,38000.00,6080.00,44080.00,Venta a credito de servicios operativos 1,G03,03,PPD,vigente
INV-00305,YRP970420CKJ,YQI940113BTW,2026-06-06,73209.00,11713.44,84922.44,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00035,YQZ810420CCJ,YQI940113BTW,2026-06-04,81899.00,13103.84,95002.84,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00246,YQT751006BZJ,YQI940113BTW,2026-04-03,15410.00,2465.60,17875.60,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00320,YRP970420CKJ,YQI940113BTW,2026-06-07,93700.00,14992.00,108692.00,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00356,YRV731006CNJ,YQI940113BTW,2026-02-22,43047.00,6887.52,49934.52,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00257,YRQ980727CKW,YQI940113BTW,2026-06-22,68412.00,10945.92,79357.92,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00265,YRP970420CKJ,YQI940113BTW,2026-06-11,22838.00,3654.08,26492.08,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00243,YSG840727CSW,YQI940113BTW,2026-06-21,25988.00,4158.08,30146.08,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00254,YQW780727CAW,YQI940113BTW,2026-05-04,76183.00,12189.28,88372.28,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00155,YRO960113CJW,YQI940113BTW,2026-05-28,45570.00,7291.20,52861.20,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00310,YRR991006CLJ,YQI940113BTW,2026-06-27,41990.00,6718.40,48708.40,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00075,YRJ911006CHJ,YQI940113BTW,2026-04-06,49165.00,7866.40,57031.40,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00138,YQK960727BUW,YQI940113BTW,2026-01-05,27804.00,4448.64,32252.64,Cuota mensual: servicios de consultoria operativa,G03,03,PPD,vigente
INV-00072,YSD811006CRJ,YQI940113BTW,2026-05-20,25328.00,4052.48,29380.48,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00294,YQN990420BWJ,YQI940113BTW,2026-01-27,81404.00,13024.64,94428.64,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00349,YRE860727CEW,YQI940113BTW,2026-02-09,63981.00,10236.96,74217.96,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00004,YRJ911006CHJ,YQI940113BTW,2026-04-05,74830.00,11972.80,86802.80,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00212,YRH890420CGJ,YQI940113BTW,2026-03-15,24320.00,3891.20,28211.20,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00109,YRU720727CMW,YQI940113BTW,2026-02-11,39340.00,6294.40,45634.40,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00051,YSB790420CQJ,YQI940113BTW,2026-04-30,83781.00,13404.96,97185.96,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00339,YQP711006BXJ,YQI940113BTW,2026-02-18,13645.00,2183.20,15828.20,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00336,YRE860727CEW,YQI940113BTW,2026-02-05,83448.00,13351.68,96799.68,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00278,YSF830420CSJ,YQI940113BTW,2026-06-15,53887.00,8621.92,62508.92,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00314,YSG840727CSW,YQI940113BTW,2026-06-25,66249.00,10599.84,76848.84,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00323,YQU760113BZW,YQI940113BTW,2026-04-11,60049.00,9607.84,69656.84,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00156,YQP711006BXJ,YQI940113BTW,2026-02-15,20947.00,3351.52,24298.52,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00001,YQK960727BUW,YQI940113BTW,2026-03-05,27804.00,4448.64,32252.64,Cuota mensual: servicios de consultoria operativa,G03,03,PPD,vigente
INV-00318,YQK960727BUW,YQI940113BTW,2026-02-05,27804.00,4448.64,32252.64,Cuota mensual: servicios de consultoria operativa,G03,03,PPD,vigente
INV-00073,YSF830420CSJ,YQI940113BTW,2026-06-09,34884.00,5581.44,40465.44,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00199,YSC800727CQW,YQI940113BTW,2026-05-08,89519.00,14323.04,103842.04,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00296,YRR991006CLJ,YQI940113BTW,2026-06-28,28547.00,4567.52,33114.52,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00201,YQJ950420BUJ,YQI940113BTW,2026-04-05,26319.00,4211.04,30530.04,Cuota mensual: mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00267,YQQ720113BXW,YQI940113BTW,2026-02-23,56567.00,9050.72,65617.72,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00284,YQO700727BWW,YQI940113BTW,2026-02-07,79447.00,12711.52,92158.52,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00107,YQT751006BZJ,YQI940113BTW,2026-03-30,78922.00,12627.52,91549.52,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00054,YQU760113BZW,YQI940113BTW,2026-04-14,66465.00,10634.40,77099.40,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00174,YRX750420COJ,YQI940113BTW,2026-03-15,70078.00,11212.48,81290.48,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00062,YQN990420BWJ,YQI940113BTW,2026-01-25,67069.00,10731.04,77800.04,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00202,YRD850420CEJ,YQI940113BTW,2026-01-30,82677.00,13228.32,95905.32,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00250,YRK920113CHW,YQI940113BTW,2026-04-15,59167.00,9466.72,68633.72,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00165,YQT751006BZJ,YQI940113BTW,2026-04-02,34324.00,5491.84,39815.84,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00195,YSB790420CQJ,YQI940113BTW,2026-04-27,37909.00,6065.44,43974.44,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00023,YQM980113BVW,YQI940113BTW,2026-01-11,64989.00,10398.24,75387.24,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00071,YRO960113CJW,YQI940113BTW,2026-05-31,76840.00,12294.40,89134.40,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00227,YQO700727BWW,YQI940113BTW,2026-02-01,69047.00,11047.52,80094.52,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00159,YQU760113BZW,YQI940113BTW,2026-04-13,44762.00,7161.92,51923.92,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00039,YQQ720113BXW,YQI940113BTW,2026-02-22,62443.00,9990.88,72433.88,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00158,YQT751006BZJ,YQI940113BTW,2026-03-31,32636.00,5221.76,37857.76,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00018,YSE820113CRW,YQI940113BTW,2026-05-31,37242.00,5958.72,43200.72,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00141,YRC840113CDW,YQI940113BTW,2026-01-18,72499.00,11599.84,84098.84,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00037,YRX750420COJ,YQI940113BTW,2026-03-17,90135.00,14421.60,104556.60,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00302,YRJ911006CHJ,YQI940113BTW,2026-04-02,91441.00,14630.56,106071.56,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00330,YQR730420BYJ,YQI940113BTW,2026-03-09,80068.00,12810.88,92878.88,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00116,YRN951006CJJ,YQI940113BTW,2026-05-18,31975.00,5116.00,37091.00,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00337,YRV731006CNJ,YQI940113BTW,2026-02-21,85863.00,13738.08,99601.08,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00354,YQZ810420CCJ,YQI940113BTW,2026-06-07,86608.00,13857.28,100465.28,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00335,YRH890420CGJ,YQI940113BTW,2026-03-10,13633.00,2181.28,15814.28,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00280,YRQ980727CKW,YQI940113BTW,2026-06-16,18338.00,2934.08,21272.08,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00108,YRR991006CLJ,YQI940113BTW,2026-01-10,31532.00,5045.12,36577.12,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00351,YRR991006CLJ,YQI940113BTW,2026-06-29,21927.00,3508.32,25435.32,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00125,YRI900727CGW,YQI940113BTW,2026-03-21,45542.00,7286.72,52828.72,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00282,YRY760727COW,YQI940113BTW,2026-03-28,83242.00,13318.72,96560.72,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00032,YQM980113BVW,YQI940113BTW,2026-01-12,44622.00,7139.52,51761.52,Suministro de insumos de produccion,G03,03,PPD,vigente
