rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
TXQ840315ZGA,Servicios Logistica 00001001-003 SA de CV,2023-04-15,"Av. Industria 103, Monterrey, Nuevo Leon",646180000100407641,Logistica,contacto00001001-003@proveedor.example.mx
TYY880901ZXA,Servicios Consultoria 00001001-037 SA de CV,2022-02-15,"Av. Industria 137, Monterrey, Nuevo Leon",646180000103100107,Consultoria,contacto00001001-037@proveedor.example.mx
TYJ731208ZPN,Servicios Consultoria 00001001-022 SA de CV,2022-05-15,"Av. Industria 122, Monterrey, Nuevo Leon",646180000101912258,Consultoria,contacto00001001-022@proveedor.example.mx
TXY920315ZKA,Servicios Mantenimiento 00001001-011 SA de CV,2021-03-15,"Av. Industria 111, Monterrey, Nuevo Leon",646180000101041161,Mantenimiento,contacto00001001-011@proveedor.example.mx
TXV890622ZIN,Servicios Logistica 00001001-008 SA de CV,2023-09-15,"Av. Industria 108, Monterrey, Nuevo Leon",646180000100803591,Logistica,contacto00001001-008@proveedor.example.mx
TYA940901ZLA,Servicios Logistica 00001001-013 SA de CV,2023-05-15,"Av. Industria 113, Monterrey, Nuevo Leon",646180000101199547,Logistica,contacto00001001-013@proveedor.example.mx
TYM760901ZRA,Servicios Tecnologia 00001001-025 SA de CV,2020-08-15,"Av. Industria 125, Monterrey, Nuevo Leon",646180000102149826,Tecnologia,contacto00001001-025@proveedor.example.mx
TYS820315ZUA,Servicios Mantenimiento 00001001-031 SA de CV,2021-05-15,"Av. Industria 131, Monterrey, Nuevo Leon",646180000102624969,Mantenimiento,contacto00001001-031@proveedor.example.mx
TYV851208ZVN,Servicios Insumos 00001001-034 SA de CV,2024-08-15,"Av. Industria 134, Monterrey, Nuevo Leon",646180000102862530,Insumos,contacto00001001-034@proveedor.example.mx
TXS860901ZHA,Servicios Tecnologia 00001001-005 SA de CV,2020-06-15,"Av. Industria 105, Monterrey, Nuevo Leon",646180000100566029,Tecnologia,contacto00001001-005@proveedor.example.mx
TYO780315ZSA,Servicios Consultoria 00001001-027 SA de CV,2022-01-15,"Av. Industria 127, Monterrey, Nuevo Leon",646180000102308201,Consultoria,contacto00001001-027@proveedor.example.mx
TXR850622ZGN,Servicios Insumos 00001001-004 SA de CV,2024-05-15,"Av. Industria 104, Monterrey, Nuevo Leon",646180000100486837,Insumos,contacto00001001-004@proveedor.example.mx
TYK740315ZQA,Servicios Logistica 00001001-023 SA de CV,2023-06-15,"Av. Industria 123, Monterrey, Nuevo Leon",646180000101991444,Logistica,contacto00001001-023@proveedor.example.mx
TXW900901ZJA,Servicios Insumos 00001001-009 SA de CV,2024-01-15,"Av. Industria 109, Monterrey, Nuevo Leon",646180000100882787,Insumos,contacto00001001-009@proveedor.example.mx
TYG700315ZOA,Servicios Insumos 00001001-019 SA de CV,2024-02-15,"Av. Industria 119, Monterrey, Nuevo Leon",646180000101674680,Insumos,contacto00001001-019@proveedor.example.mx
TZJ990622ACN,Servicios Logistica 00001001-048 SA de CV,2023-04-15,"Av. Industria 148, Monterrey, Nuevo Leon",646180000103971190,Logistica,contacto00001001-048@proveedor.example.mx
TYI720901ZPA,Servicios Mantenimiento 00001001-021 SA de CV,2021-04-15,"Av. Industria 121, Monterrey, Nuevo Leon",646180000101833065,Mantenimiento,contacto00001001-021@proveedor.example.mx
TZK700901ADA,Servicios Insumos 00001001-049 SA de CV,2024-05-15,"Av. Industria 149, Monterrey, Nuevo Leon",646180000104050382,Insumos,contacto00001001-049@proveedor.example.mx
TYD970622ZMN,Servicios Mantenimiento 00001001-016 SA de CV,2021-08-15,"Av. Industria 116, Monterrey, Nuevo Leon",646180000101437115,Mantenimiento,contacto00001001-016@proveedor.example.mx
TYW860315ZWA,Servicios Tecnologia 00001001-035 SA de CV,2020-09-15,"Av. Industria 135, Monterrey, Nuevo Leon",646180000102941723,Tecnologia,contacto00001001-035@proveedor.example.mx
TXZ930622ZKN,Servicios Consultoria 00001001-012 SA de CV,2022-04-15,"Av. Industria 112, Monterrey, Nuevo Leon",646180000101120354,Consultoria,contacto00001001-012@proveedor.example.mx
TYT830622ZUN,Servicios Consultoria 00001001-032 SA de CV,2022-06-15,"Av. Industria 132, Monterrey, Nuevo Leon",646180000102704151,Consultoria,contacto00001001-032@proveedor.example.mx
TXO820901ZFA,Servicios Mantenimiento 00001001-001 SA de CV,2021-02-15,"Av. Industria 101, Monterrey, Nuevo Leon",646180000100249265,Mantenimiento,contacto00001001-001@proveedor.example.mx
TYX870622ZWN,Servicios Mantenimiento 00001001-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000103020915,Mantenimiento,contacto00001001-036@proveedor.example.mx
TZG960901ABA,Servicios Tecnologia 00001001-045 SA de CV,2020-01-15,"Av. Industria 145, Monterrey, Nuevo Leon",646180000103733626,Tecnologia,contacto00001001-045@proveedor.example.mx
TZI980315ACA,Servicios Consultoria 00001001-047 SA de CV,2022-03-15,"Av. Industria 147, Monterrey, Nuevo Leon",646180000103892004,Consultoria,contacto00001001-047@proveedor.example.mx
TYR811208ZTN,Servicios Tecnologia 00001001-030 SA de CV,2020-04-15,"Av. Industria 130, Monterrey, Nuevo Leon",646180000102545776,Tecnologia,contacto00001001-030@proveedor.example.mx
TYC960315ZMA,Servicios Tecnologia 00001001-015 SA de CV,2020-07-15,"Av. Industria 115, Monterrey, Nuevo Leon",646180000101357923,Tecnologia,contacto00001001-015@proveedor.example.mx
TZD931208ZZN,Servicios Consultoria 00001001-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000103496057,Consultoria,contacto00001001-042@proveedor.example.mx
