po_id,vendor_rfc,date,amount,requester,approver,description
PO-00354,YRL930420CIJ,2026-04-25,19820.92,Elena Mora 05 00001104,Fabian Rios 06 00001104,Suministro de insumos de produccion
PO-00321,YQO700727BWW,2026-02-02,90133.16,Elena Mora 05 00001104,Fabian Rios 06 00001104,Mantenimiento preventivo de instalaciones
PO-00275,YQR730420BYJ,2026-03-10,36469.24,Carla Soto 09 00001104,Diego Luna 10 00001104,Suministro de insumos de produccion
PO-00105,YRZ771006CPJ,2026-04-05,29464.00,Elena Mora 05 00001104,Fabian Rios 06 00001104,Servicios de logistica y entrega
PO-00032,YRL930420CIJ,2026-04-28,95046.92,Fabian Rios 06 00001104,Ana Ruiz 07 00001104,Suministro de insumos de produccion
PO-00139,YRI900727CGW,2026-03-22,81524.80,Elena Mora 05 00001104,Fabian Rios 06 00001104,Mantenimiento preventivo de instalaciones
PO-00106,YRU720727CMW,2026-02-13,52807.84,Bruno Garcia 08 00001104,Carla Soto 09 00001104,Servicios de logistica y entrega
PO-00309,YQJ950420BUJ,2026-03-05,30530.04,Carla Soto 03 00001104,Diego Luna 04 00001104,Cuota mensual: mantenimiento preventivo de instalaciones
PO-00323,YRI900727CGW,2026-03-26,22472.68,Carla Soto 03 00001104,Diego Luna 04 00001104,Mantenimiento preventivo de instalaciones
PO-00204,YRC840113CDW,2026-01-19,71264.60,Ana Ruiz 07 00001104,Bruno Garcia 08 00001104,Soporte y licencias de tecnologia
PO-00022,YQR730420BYJ,2026-03-06,36562.04,Ana Ruiz 01 00001104,Bruno Garcia 02 00001104,Suministro de insumos de produccion
PO-00059,YQN990420BWJ,2026-01-27,94428.64,Carla Soto 09 00001104,Diego Luna 10 00001104,Soporte y licencias de tecnologia
PO-00263,YQK960727BUW,2026-06-05,32252.64,Bruno Garcia 02 00001104,Carla Soto 03 00001104,Cuota mensual: servicios de consultoria operativa
PO-00008,YQM980113BVW,2026-01-09,29786.48,Carla Soto 09 00001104,Diego Luna 10 00001104,Suministro de insumos de produccion
PO-00228,YRY760727COW,2026-03-27,57207.72,Bruno Garcia 08 00001104,Carla Soto 09 00001104,Servicios de consultoria operativa
PO-00054,YQN990420BWJ,2026-01-24,103867.56,Bruno Garcia 08 00001104,Carla Soto 09 00001104,Soporte y licencias de tecnologia
PO-00173,YRU720727CMW,2026-02-08,64058.68,Carla Soto 03 00001104,Diego Luna 04 00001104,Servicios de logistica y entrega
PO-00068,YQQ720113BXW,2026-02-22,72433.88,Carla Soto 03 00001104,Diego Luna 04 00001104,Servicios de logistica y entrega
PO-00207,YRD850420CEJ,2026-01-25,102067.24,Carla Soto 03 00001104,Diego Luna 04 00001104,Mantenimiento preventivo de instalaciones
PO-00181,YSE820113CRW,2026-05-30,79982.00,Diego Luna 10 00001104,Ana Ruiz 01 00001104,Servicios de logistica y entrega
PO-00119,YQT751006BZJ,2026-04-03,17875.60,Elena Mora 05 00001104,Fabian Rios 06 00001104,Mantenimiento preventivo de instalaciones
PO-00063,YRP970420CKJ,2026-06-05,36449.52,Bruno Garcia 08 00001104,Carla Soto 09 00001104,Servicios de logistica y entrega
PO-00289,YRQ980727CKW,2026-06-20,106333.72,Ana Ruiz 07 00001104,Bruno Garcia 08 00001104,Suministro de insumos de produccion
PO-00126,YQZ810420CCJ,2026-06-05,90164.48,Diego Luna 10 00001104,Ana Ruiz 01 00001104,Servicios de consultoria operativa
PO-00239,YRP970420CKJ,2026-06-08,96754.44,Carla Soto 09 00001104,Diego Luna 10 00001104,Servicios de logistica y entrega
PO-00212,YQW780727CAW,2026-05-05,89825.76,Ana Ruiz 01 00001104,Bruno Garcia 02 00001104,Suministro de insumos de produccion
PO-00167,YQM980113BVW,2026-01-15,41828.44,Ana Ruiz 01 00001104,Bruno Garcia 02 00001104,Suministro de insumos de produccion
PO-00268,YSD811006CRJ,2026-05-20,29380.48,Fabian Rios 06 00001104,Ana Ruiz 07 00001104,Servicios de consultoria operativa
PO-00308,YQM980113BVW,2026-01-12,51761.52,Diego Luna 10 00001104,Ana Ruiz 01 00001104,Suministro de insumos de produccion
PO-00044,YRW740113CNW,2026-03-06,22063.20,Carla Soto 03 00001104,Diego Luna 04 00001104,Soporte y licencias de tecnologia
PO-00191,YQZ810420CCJ,2026-06-02,76960.20,Carla Soto 09 00001104,Diego Luna 10 00001104,Servicios de consultoria operativa
PO-00094,YQJ950420BUJ,2026-06-05,30530.04,Fabian Rios 06 00001104,Ana Ruiz 07 00001104,Cuota mensual: mantenimiento preventivo de instalaciones
