uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00182,YOF990804BWB,YNY921111BSO,2026-02-15,93665.00,14986.40,108651.40,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00058,YPM721111CMO,YNY921111BSO,2026-03-07,29302.00,4688.32,33990.32,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00034,YPB910218CHB,YNY921111BSO,2026-04-27,73588.00,11774.08,85362.08,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00258,YOB950804BUB,YNY921111BSO,2026-03-05,22321.00,3571.36,25892.36,Cuota mensual: servicios de logistica y entrega,G03,03,PPD,vigente
INV-00196,YOR810804CCB,YNY921111BSO,2026-06-29,91745.00,14679.20,106424.20,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00203,YPE941111CIO,YNY921111BSO,2026-05-29,84193.00,13470.88,97663.88,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00264,YOY880525CFO,YNY921111BSO,2026-03-24,94000.00,15040.00,109040.00,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00361,YPL710804CMB,YNY921111BSO,2026-02-24,17322.00,2771.52,20093.52,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00030,YOG701111BWO,YNY921111BSO,2026-02-22,33025.00,5284.00,38309.00,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00261,YOF990804BWB,YNY921111BSO,2026-02-17,21212.00,3393.92,24605.92,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00357,YPH970804CKB,YNY921111BSO,2026-06-27,66781.00,10684.96,77465.96,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00359,YPK700525CLO,YNY921111BSO,2026-02-08,87297.00,13967.52,101264.52,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00022,YPE941111CIO,YNY921111BSO,2026-05-26,25142.00,4022.72,29164.72,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00118,YOZ890804CGB,YNY921111BSO,2026-04-03,49056.00,7848.96,56904.96,Servicios de consultoria operativa,G03,03,PPD,vigente
