rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
YQW780727CAW,Servicios Insumos 00001104-014 SA de CV,2024-06-15,"Av. Industria 114, Monterrey, Nuevo Leon",646180000111585947,Insumos,contacto00001104-014@proveedor.example.mx
YRB831006CDJ,Servicios Insumos 00001104-019 SA de CV,2024-02-15,"Av. Industria 119, Monterrey, Nuevo Leon",646180000111981897,Insumos,contacto00001104-019@proveedor.example.mx
YRU720727CMW,Servicios Logistica 00001104-038 SA de CV,2023-03-15,"Av. Industria 138, Monterrey, Nuevo Leon",646180000113486507,Logistica,contacto00001104-038@proveedor.example.mx
YRY760727COW,Servicios Consultoria 00001104-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000113803261,Consultoria,contacto00001104-042@proveedor.example.mx
YQY800113CBW,Servicios Mantenimiento 00001104-016 SA de CV,2021-08-15,"Av. Industria 116, Monterrey, Nuevo Leon",646180000111744322,Mantenimiento,contacto00001104-016@proveedor.example.mx
YRQ980727CKW,Servicios Insumos 00001104-034 SA de CV,2024-08-15,"Av. Industria 134, Monterrey, Nuevo Leon",646180000113169743,Insumos,contacto00001104-034@proveedor.example.mx
YQX791006CBJ,Servicios Tecnologia 00001104-015 SA de CV,2020-07-15,"Av. Industria 115, Monterrey, Nuevo Leon",646180000111665139,Tecnologia,contacto00001104-015@proveedor.example.mx
YRK920113CHW,Servicios Logistica 00001104-028 SA de CV,2023-02-15,"Av. Industria 128, Monterrey, Nuevo Leon",646180000112694604,Logistica,contacto00001104-028@proveedor.example.mx
YRW740113CNW,Servicios Tecnologia 00001104-040 SA de CV,2020-05-15,"Av. Industria 140, Monterrey, Nuevo Leon",646180000113644886,Tecnologia,contacto00001104-040@proveedor.example.mx
YQJ950420BUJ,Servicios Mantenimiento 00001104-001 SA de CV,2021-02-15,"Av. Industria 101, Monterrey, Nuevo Leon",646180000110556472,Mantenimiento,contacto00001104-001@proveedor.example.mx
YRE860727CEW,Servicios Consultoria 00001104-022 SA de CV,2022-05-15,"Av. Industria 122, Monterrey, Nuevo Leon",646180000112219461,Consultoria,contacto00001104-022@proveedor.example.mx
YRL930420CIJ,Servicios Insumos 00001104-029 SA de CV,2024-03-15,"Av. Industria 129, Monterrey, Nuevo Leon",646180000112773790,Insumos,contacto00001104-029@proveedor.example.mx
