po_id,vendor_rfc,date,amount,requester,approver,description
PO-00291,YPP751212BZF,2026-04-12,20436.88,Bruno Garcia 02 00001103,Carla Soto 03 00001103,Servicios de consultoria operativa
PO-00064,YPX831212CDF,2026-01-13,34432.28,Elena Mora 05 00001103,Fabian Rios 06 00001103,Soporte y licencias de tecnologia
PO-00318,YQT750626COF,2026-03-24,40656.84,Ana Ruiz 07 00001103,Bruno Garcia 08 00001103,Servicios de consultoria operativa
PO-00290,YRB830626CSF,2026-06-26,38708.04,Ana Ruiz 07 00001103,Bruno Garcia 08 00001103,Soporte y licencias de tecnologia
PO-00235,YRA820319CRS,2026-06-13,62469.48,Bruno Garcia 02 00001103,Carla Soto 03 00001103,Suministro de insumos de produccion
PO-00252,YPJ990626BWF,2026-02-07,64753.52,Diego Luna 10 00001103,Ana Ruiz 01 00001103,Mantenimiento preventivo de instalaciones
PO-00168,YPI980319BVS,2026-01-25,45118.20,Elena Mora 05 00001103,Fabian Rios 06 00001103,Soporte y licencias de tecnologia
PO-00247,YQD890626CGF,2026-03-20,22487.76,Ana Ruiz 01 00001103,Bruno Garcia 02 00001103,Mantenimiento preventivo de instalaciones
PO-00299,YPM720319BXS,2026-03-07,51916.96,Bruno Garcia 08 00001103,Carla Soto 09 00001103,Suministro de insumos de produccion
PO-00045,YPJ990626BWF,2026-02-01,18086.72,Bruno Garcia 08 00001103,Carla Soto 09 00001103,Mantenimiento preventivo de instalaciones
PO-00105,YPG960905BUS,2026-03-05,38915.68,Elena Mora 05 00001103,Fabian Rios 06 00001103,Cuota mensual: servicios de logistica y entrega
PO-00320,YPU800319CBS,2026-06-06,92969.36,Ana Ruiz 07 00001103,Bruno Garcia 08 00001103,Servicios de consultoria operativa
PO-00297,YPT791212CBF,2026-05-22,44001.12,Bruno Garcia 08 00001103,Carla Soto 09 00001103,Mantenimiento preventivo de instalaciones
PO-00221,YQJ951212CJF,2026-05-26,27972.24,Diego Luna 04 00001103,Elena Mora 05 00001103,Servicios de consultoria operativa
PO-00021,YPZ850626CEF,2026-02-07,56833.04,Bruno Garcia 08 00001103,Carla Soto 09 00001103,Servicios de consultoria operativa
PO-00062,YQY800905CQS,2026-05-20,55953.76,Fabian Rios 06 00001103,Ana Ruiz 07 00001103,Servicios de consultoria operativa
PO-00274,YPU800319CBS,2026-06-07,63968.20,Diego Luna 04 00001103,Elena Mora 05 00001103,Servicios de consultoria operativa
PO-00157,YQH930626CIF,2026-05-04,47730.52,Bruno Garcia 02 00001103,Carla Soto 03 00001103,Soporte y licencias de tecnologia
PO-00300,YPU800319CBS,2026-06-04,65850.88,Carla Soto 03 00001103,Diego Luna 04 00001103,Servicios de consultoria operativa
PO-00346,YQH930626CIF,2026-05-06,50145.64,Fabian Rios 06 00001103,Ana Ruiz 07 00001103,Soporte y licencias de tecnologia
PO-00209,YPS780905CAS,2026-05-15,53926.08,Elena Mora 05 00001103,Fabian Rios 06 00001103,Soporte y licencias de tecnologia
PO-00305,YPM720319BXS,2026-03-12,26475.84,Carla Soto 03 00001103,Diego Luna 04 00001103,Suministro de insumos de produccion
PO-00044,YQQ720905CMS,2026-02-22,95316.04,Elena Mora 05 00001103,Fabian Rios 06 00001103,Suministro de insumos de produccion
PO-00184,YQY800905CQS,2026-05-19,82788.04,Carla Soto 09 00001103,Diego Luna 10 00001103,Servicios de consultoria operativa
