uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00091,DDG740913EGY,DDE720327EFY,2026-03-05,33427.00,5348.32,38775.32,Cuota mensual: servicios de consultoria operativa,G03,03,PPD,vigente
INV-00278,DEW860327FBY,DDE720327EFY,2026-04-18,24158.00,3865.28,28023.28,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00051,DDH751220EHL,DDE720327EFY,2026-06-05,31627.00,5060.32,36687.32,Cuota mensual: servicios de logistica y entrega,G03,03,PPD,vigente
INV-00120,DEH710606EUL,DDE720327EFY,2026-04-27,86905.00,13904.80,100809.80,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00083,DDM800327EJY,DDE720327EFY,2026-02-25,79604.00,12736.64,92340.64,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00182,DFB910606FEL,DDE720327EFY,2026-06-11,18735.00,2997.60,21732.60,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00077,DEY880913FCY,DDE720327EFY,2026-05-13,91410.00,14625.60,106035.60,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00131,DEZ891220FDL,DDE720327EFY,2026-05-19,84237.00,13477.92,97714.92,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00158,DED970606ESL,DDE720327EFY,2026-03-09,32928.00,5268.48,38196.48,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00071,DES820327EZY,DDE720327EFY,2026-03-03,79187.00,12669.92,91856.92,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00190,DDK780913EIY,DDE720327EFY,2026-02-03,53296.00,8527.36,61823.36,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00348,DES820327EZY,DDE720327EFY,2026-03-06,48897.00,7823.52,56720.52,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00061,DDM800327EJY,DDE720327EFY,2026-02-26,23681.00,3788.96,27469.96,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00346,DDR850606EML,DDE720327EFY,2026-04-25,66411.00,10625.76,77036.76,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00295,DDJ770606EIL,DDE720327EFY,2026-01-26,68955.00,11032.80,79987.80,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00354,DEC960327ERY,DDE720327EFY,2026-03-02,58759.00,9401.44,68160.44,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00264,DEJ731220EVL,DDE720327EFY,2026-05-19,32649.00,5223.84,37872.84,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00269,DEI720913EUY,DDE720327EFY,2026-05-04,93516.00,14962.56,108478.56,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00222,DEB951220ERL,DDE720327EFY,2026-02-15,21324.00,3411.84,24735.84,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00157,DFD931220FFL,DDE720327EFY,2026-02-13,85248.00,13639.68,98887.68,Asistencia tecnica de planeacion,G03,03,PPD,vigente
INV-00221,DDQ840327ELY,DDE720327EFY,2026-04-14,39293.00,6286.88,45579.88,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00281,DDO820913EKY,DDE720327EFY,2026-03-23,57076.00,9132.16,66208.16,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00057,DDY920327EPY,DDE720327EFY,2026-01-15,62779.00,10044.64,72823.64,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00047,DDL791220EJL,DDE720327EFY,2026-02-15,73011.00,11681.76,84692.76,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00203,DDJ770606EIL,DDE720327EFY,2026-01-24,71828.00,11492.48,83320.48,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00359,DEY880913FCY,DDE720327EFY,2026-05-11,89205.00,14272.80,103477.80,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00060,DFC920913FEY,DDE720327EFY,2026-06-26,53636.00,8581.76,62217.76,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00032,DDG740913EGY,DDE720327EFY,2026-01-05,33427.00,5348.32,38775.32,Cuota mensual: servicios de consultoria operativa,G03,03,PPD,vigente
INV-00048,DEM760913EWY,DDE720327EFY,2026-06-19,94206.00,15072.96,109278.96,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00315,DDQ840327ELY,DDE720327EFY,2026-04-13,25419.00,4067.04,29486.04,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00097,DEH710606EUL,DDE720327EFY,2026-04-25,23108.00,3697.28,26805.28,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00274,DEK740327EVY,DDE720327EFY,2026-05-31,17206.00,2752.96,19958.96,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00302,DDJ770606EIL,DDE720327EFY,2026-01-27,66101.00,10576.16,76677.16,Soporte y licencias de tecnologia,G03,03,PPD,vigente
