entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-06-29,2100,Cuentas por pagar,0.00,85971.08,Registro factura INV-00172,INV-00172,CC-100 Operaciones,Elena Mora 05 00001102
2,2026-01-22,2100,Cuentas por pagar,0.00,17650.56,Registro factura INV-00107,INV-00107,CC-100 Operaciones,Ana Ruiz 07 00001102
3,2026-03-01,2100,Cuentas por pagar,0.00,29999.92,Registro factura INV-00354,INV-00354,CC-100 Operaciones,Ana Ruiz 01 00001102
4,2026-05-31,2100,Cuentas por pagar,84588.36,0.00,Pago factura INV-00206,INV-00206,CC-100 Operaciones,Bruno Garcia 02 00001102
5,2026-05-28,2100,Cuentas por pagar,24343.76,0.00,Pago factura INV-00328,INV-00328,CC-100 Operaciones,Bruno Garcia 02 00001102
6,2026-06-30,2100,Cuentas por pagar,100722.80,0.00,Pago factura INV-00311,INV-00311,CC-100 Operaciones,Bruno Garcia 02 00001102
7,2026-05-25,2100,Cuentas por pagar,0.00,108738.40,Registro factura INV-00191,INV-00191,CC-100 Operaciones,Diego Luna 10 00001102
8,2026-02-09,1180,IVA acreditable,7874.56,0.00,Registro factura INV-00076,INV-00076,CC-100 Operaciones,Ana Ruiz 01 00001102
9,2026-05-23,1020,Bancos,0.00,10356.95,Pago factura INV-00208,INV-00208,CC-100 Operaciones,Bruno Garcia 02 00001102
10,2026-05-29,5000,Gastos operativos,27248.00,0.00,Registro factura INV-00083,INV-00083,CC-100 Operaciones,Diego Luna 04 00001102
11,2026-05-07,1020,Bancos,0.00,48583.12,Pago factura INV-00224,INV-00224,CC-100 Operaciones,Bruno Garcia 02 00001102
12,2026-04-27,2100,Cuentas por pagar,0.00,48583.12,Registro factura INV-00224,INV-00224,CC-100 Operaciones,Bruno Garcia 08 00001102
13,2026-02-27,1020,Bancos,0.00,24605.92,Pago factura INV-00261,INV-00261,CC-100 Operaciones,Bruno Garcia 02 00001102
14,2026-06-04,1020,Bancos,0.00,45184.32,Pago factura INV-00015,INV-00015,CC-100 Operaciones,Bruno Garcia 02 00001102
15,2026-06-15,1020,Bancos,0.00,25892.36,Pago factura INV-00127,INV-00127,CC-100 Operaciones,Bruno Garcia 02 00001102
16,2026-02-07,5000,Gastos operativos,42796.00,0.00,Registro factura INV-00230,INV-00230,CC-100 Operaciones,Carla Soto 09 00001102
17,2026-06-12,2100,Cuentas por pagar,66905.32,0.00,Pago factura INV-00021,INV-00021,CC-100 Operaciones,Bruno Garcia 02 00001102
18,2026-04-24,2100,Cuentas por pagar,51120.04,0.00,Pago factura INV-00080,INV-00080,CC-100 Operaciones,Bruno Garcia 02 00001102
19,2026-04-04,2100,Cuentas por pagar,85530.28,0.00,Pago factura INV-00035,INV-00035,CC-100 Operaciones,Bruno Garcia 02 00001102
20,2026-04-06,1180,IVA acreditable,11416.32,0.00,Registro factura INV-00210,INV-00210,CC-100 Operaciones,Elena Mora 05 00001102
21,2026-06-15,2100,Cuentas por pagar,0.00,90115.76,Registro factura INV-00061,INV-00061,CC-100 Operaciones,Ana Ruiz 07 00001102
22,2026-02-23,5000,Gastos operativos,33936.00,0.00,Registro factura INV-00121,INV-00121,CC-100 Operaciones,Carla Soto 03 00001102
23,2026-02-23,5000,Gastos operativos,58308.00,0.00,Registro factura INV-00239,INV-00239,CC-100 Operaciones,Ana Ruiz 01 00001102
24,2026-06-10,1180,IVA acreditable,3738.72,0.00,Registro factura INV-00024,INV-00024,CC-100 Operaciones,Diego Luna 04 00001102
25,2026-02-25,1180,IVA acreditable,12035.36,0.00,Registro factura INV-00104,INV-00104,CC-100 Operaciones,Elena Mora 05 00001102
26,2026-03-22,2100,Cuentas por pagar,0.00,39083.88,Registro factura INV-00282,INV-00282,CC-100 Operaciones,Fabian Rios 06 00001102
27,2026-06-28,2100,Cuentas por pagar,0.00,105369.76,Registro factura INV-00204,INV-00204,CC-100 Operaciones,Diego Luna 10 00001102
28,2026-01-11,1180,IVA acreditable,10300.48,0.00,Registro factura INV-00012,INV-00012,CC-100 Operaciones,Diego Luna 04 00001102
29,2026-06-20,1020,Bancos,0.00,27105.72,Pago factura INV-00024,INV-00024,CC-100 Operaciones,Bruno Garcia 02 00001102
30,2026-06-20,5000,Gastos operativos,92175.00,0.00,Registro factura INV-00124,INV-00124,CC-100 Operaciones,Fabian Rios 06 00001102
31,2026-03-05,5000,Gastos operativos,19417.00,0.00,Registro factura INV-00163,INV-00163,CC-100 Operaciones,Ana Ruiz 07 00001102
32,2026-06-03,5000,Gastos operativos,90567.00,0.00,Registro factura INV-00002,INV-00002,CC-100 Operaciones,Ana Ruiz 07 00001102
33,2026-02-16,2100,Cuentas por pagar,0.00,78281.44,Registro factura INV-00060,INV-00060,CC-100 Operaciones,Bruno Garcia 08 00001102
34,2026-02-05,2100,Cuentas por pagar,0.00,57003.56,Registro factura INV-00342,INV-00342,CC-100 Operaciones,Elena Mora 05 00001102
35,2026-06-14,1180,IVA acreditable,3791.84,0.00,Registro factura INV-00241,INV-00241,CC-100 Operaciones,Bruno Garcia 08 00001102
36,2026-06-22,2100,Cuentas por pagar,20612.04,0.00,Pago factura INV-00033,INV-00033,CC-100 Operaciones,Bruno Garcia 02 00001102
37,2026-02-02,2100,Cuentas por pagar,0.00,48722.32,Registro factura INV-00001,INV-00001,CC-100 Operaciones,Bruno Garcia 08 00001102
38,2026-06-27,1180,IVA acreditable,2247.04,0.00,Registro factura INV-00063,INV-00063,CC-100 Operaciones,Carla Soto 03 00001102
39,2026-05-01,1020,Bancos,0.00,100394.52,Pago factura INV-00190,INV-00190,CC-100 Operaciones,Bruno Garcia 02 00001102
40,2026-03-13,2100,Cuentas por pagar,57576.60,0.00,Pago factura INV-00150,INV-00150,CC-100 Operaciones,Bruno Garcia 02 00001102
