uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00050,DGJ950808ERT,DFO740501EHG,2026-01-27,51473.00,8235.68,59708.68,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00357,DHL930808FFT,DFO740501EHG,2026-06-13,60403.00,9664.48,70067.48,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00065,DGG921115EQG,DFO740501EHG,2026-06-13,33870.00,5419.20,39289.20,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00040,DGQ720501EVG,DFO740501EHG,2026-04-12,94188.00,15070.08,109258.08,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00175,DGU760501EXG,DFO740501EHG,2026-05-31,76310.00,12209.60,88519.60,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00351,DGC881115EOG,DFO740501EHG,2026-05-05,28448.00,4551.68,32999.68,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00308,DHJ910222FET,DFO740501EHG,2026-05-24,49810.00,7969.60,57779.60,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00085,DGO701115EUG,DFO740501EHG,2026-03-21,67556.00,10808.96,78364.96,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00163,DFY841115EMG,DFO740501EHG,2026-03-21,41509.00,6641.44,48150.44,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00187,DGN990808ETT,DFO740501EHG,2026-03-11,64789.00,10366.24,75155.24,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00196,DGL970222EST,DFO740501EHG,2026-02-18,27711.00,4433.76,32144.76,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00078,DHE861115FCG,DFO740501EHG,2026-03-24,19379.00,3100.64,22479.64,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00058,DGG921115EQG,DFO740501EHG,2026-06-16,66078.00,10572.48,76650.48,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00202,DHG880501FDG,DFO740501EHG,2026-04-17,36330.00,5812.80,42142.80,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00292,DFZ850222EMT,DFO740501EHG,2026-03-27,28038.00,4486.08,32524.08,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00024,DHI901115FEG,DFO740501EHG,2026-05-10,76444.00,12231.04,88675.04,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00193,DHT710808FJT,DFO740501EHG,2026-04-07,42500.00,6800.00,49300.00,Mantenimiento mensual,G03,03,PPD,vigente
INV-00139,DGP710222EUT,DFO740501EHG,2026-04-03,77333.00,12373.28,89706.28,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00185,DGI940501ERG,DFO740501EHG,2026-01-17,89704.00,14352.64,104056.64,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00017,DGY800501EZG,DFO740501EHG,2026-01-22,63211.00,10113.76,73324.76,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00265,DGL970222EST,DFO740501EHG,2026-02-20,24238.00,3878.08,28116.08,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00151,DHP970808FHT,DFO740501EHG,2026-02-21,120572.00,19291.52,139863.52,Reparacion urgente de equipo de manufactura,G03,03,PPD,vigente
INV-00345,DHD850808FBT,DFO740501EHG,2026-03-16,79359.00,12697.44,92056.44,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00352,DGR730808EVT,DFO740501EHG,2026-04-22,69173.00,11067.68,80240.68,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00088,DGB870808ENT,DFO740501EHG,2026-04-20,82075.00,13132.00,95207.00,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00254,DFZ850222EMT,DFO740501EHG,2026-04-03,92988.00,14878.08,107866.08,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00280,DGV770808EXT,DFO740501EHG,2026-06-08,42459.00,6793.44,49252.44,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00034,DFY841115EMG,DFO740501EHG,2026-03-16,48171.00,7707.36,55878.36,Soporte y licencias de tecnologia,G03,03,PPD,vigente
