entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-02-13,1180,IVA acreditable,6887.20,0.00,Registro factura INV-00132,INV-00132,CC-100 Operaciones,Ana Ruiz 07 00001103
2,2026-02-14,2100,Cuentas por pagar,0.00,33926.52,Registro factura INV-00322,INV-00322,CC-100 Operaciones,Fabian Rios 06 00001103
3,2026-01-05,5000,Gastos operativos,39556.00,0.00,Registro factura INV-00232,INV-00232,CC-100 Operaciones,Bruno Garcia 08 00001103
4,2026-05-06,1020,Bancos,0.00,59038.20,Pago factura INV-00050,INV-00050,CC-100 Operaciones,Bruno Garcia 02 00001103
5,2026-03-23,2100,Cuentas por pagar,14452.68,0.00,Pago factura INV-00108,INV-00108,CC-100 Operaciones,Bruno Garcia 02 00001103
6,2026-05-21,5000,Gastos operativos,70177.00,0.00,Registro factura INV-00071,INV-00071,CC-100 Operaciones,Diego Luna 04 00001103
7,2026-02-21,2100,Cuentas por pagar,25980.52,0.00,Pago factura INV-00011,INV-00011,CC-100 Operaciones,Bruno Garcia 02 00001103
8,2026-01-11,1180,IVA acreditable,13557.92,0.00,Registro factura INV-00019,INV-00019,CC-100 Operaciones,Diego Luna 04 00001103
9,2026-03-09,5000,Gastos operativos,31748.00,0.00,Registro factura INV-00357,INV-00357,CC-100 Operaciones,Ana Ruiz 01 00001103
10,2026-01-22,1020,Bancos,0.00,97545.56,Pago factura INV-00285,INV-00285,CC-100 Operaciones,Bruno Garcia 02 00001103
11,2026-06-15,1180,IVA acreditable,5203.36,0.00,Registro factura INV-00020,INV-00020,CC-100 Operaciones,Elena Mora 05 00001103
12,2026-06-19,1180,IVA acreditable,3413.60,0.00,Registro factura INV-00263,INV-00263,CC-100 Operaciones,Ana Ruiz 01 00001103
13,2026-03-11,2100,Cuentas por pagar,0.00,107464.72,Registro factura INV-00004,INV-00004,CC-100 Operaciones,Elena Mora 05 00001103
14,2026-01-22,1020,Bancos,0.00,61550.76,Pago factura INV-00351,INV-00351,CC-100 Operaciones,Bruno Garcia 02 00001103
15,2026-05-08,1020,Bancos,0.00,25209.12,Pago factura INV-00142,INV-00142,CC-100 Operaciones,Bruno Garcia 02 00001103
16,2026-01-19,2100,Cuentas por pagar,35543.56,0.00,Pago factura INV-00109,INV-00109,CC-100 Operaciones,Bruno Garcia 02 00001103
17,2026-03-23,1020,Bancos,0.00,20636.40,Pago factura INV-00043,INV-00043,CC-100 Operaciones,Bruno Garcia 02 00001103
18,2026-02-05,2100,Cuentas por pagar,0.00,45884.96,Registro factura INV-00276,INV-00276,CC-100 Operaciones,Carla Soto 09 00001103
19,2026-05-18,2100,Cuentas por pagar,0.00,51633.92,Registro factura INV-00229,INV-00229,CC-100 Operaciones,Carla Soto 03 00001103
20,2026-04-01,2100,Cuentas por pagar,0.00,24022.44,Registro factura INV-00188,INV-00188,CC-100 Operaciones,Diego Luna 10 00001103
21,2026-06-05,1020,Bancos,0.00,47614.52,Pago factura INV-00239,INV-00239,CC-100 Operaciones,Bruno Garcia 02 00001103
22,2026-04-20,2100,Cuentas por pagar,22194.28,0.00,Pago factura INV-00172,INV-00172,CC-100 Operaciones,Bruno Garcia 02 00001103
23,2026-05-03,1020,Bancos,0.00,21366.04,Pago factura INV-00277,INV-00277,CC-100 Operaciones,Bruno Garcia 02 00001103
24,2026-03-09,1020,Bancos,0.00,24687.12,Pago factura INV-00260,INV-00260,CC-100 Operaciones,Bruno Garcia 02 00001103
25,2026-03-24,1020,Bancos,0.00,101013.96,Pago factura INV-00361,INV-00361,CC-100 Operaciones,Bruno Garcia 02 00001103
26,2026-05-30,5000,Gastos operativos,94529.00,0.00,Registro factura INV-00177,INV-00177,CC-100 Operaciones,Ana Ruiz 01 00001103
27,2026-01-22,2100,Cuentas por pagar,0.00,65955.28,Registro factura INV-00099,INV-00099,CC-100 Operaciones,Elena Mora 05 00001103
28,2026-06-05,5000,Gastos operativos,85149.00,0.00,Registro factura INV-00163,INV-00163,CC-100 Operaciones,Ana Ruiz 01 00001103
29,2026-03-03,2100,Cuentas por pagar,0.00,39741.60,Registro factura INV-00127,INV-00127,CC-100 Operaciones,Carla Soto 03 00001103
30,2026-01-28,5000,Gastos operativos,43366.00,0.00,Registro factura INV-00034,INV-00034,CC-100 Operaciones,Elena Mora 05 00001103
31,2026-03-13,5000,Gastos operativos,17790.00,0.00,Registro factura INV-00043,INV-00043,CC-100 Operaciones,Carla Soto 09 00001103
32,2026-03-19,5000,Gastos operativos,43091.00,0.00,Registro factura INV-00290,INV-00290,CC-100 Operaciones,Carla Soto 09 00001103
33,2026-02-17,5000,Gastos operativos,63327.00,0.00,Registro factura INV-00063,INV-00063,CC-100 Operaciones,Elena Mora 05 00001103
34,2026-02-20,2100,Cuentas por pagar,107267.52,0.00,Pago factura INV-00259,INV-00259,CC-100 Operaciones,Bruno Garcia 02 00001103
35,2026-05-12,1020,Bancos,0.00,57994.20,Pago factura INV-00337,INV-00337,CC-100 Operaciones,Bruno Garcia 02 00001103
36,2026-05-21,1020,Bancos,0.00,86005.88,Pago factura INV-00305,INV-00305,CC-100 Operaciones,Bruno Garcia 02 00001103
37,2026-05-23,5000,Gastos operativos,79865.00,0.00,Registro factura INV-00180,INV-00180,CC-100 Operaciones,Bruno Garcia 08 00001103
38,2026-03-11,2100,Cuentas por pagar,48039.08,0.00,Pago factura INV-00171,INV-00171,CC-100 Operaciones,Bruno Garcia 02 00001103
39,2026-05-11,5000,Gastos operativos,74143.00,0.00,Registro factura INV-00305,INV-00305,CC-100 Operaciones,Bruno Garcia 08 00001103
40,2026-04-14,1020,Bancos,0.00,30412.88,Pago factura INV-00154,INV-00154,CC-100 Operaciones,Bruno Garcia 02 00001103
41,2026-04-10,2100,Cuentas por pagar,0.00,22194.28,Registro factura INV-00172,INV-00172,CC-100 Operaciones,Carla Soto 09 00001103
42,2026-02-08,2100,Cuentas por pagar,61184.20,0.00,Pago factura INV-00332,INV-00332,CC-100 Operaciones,Bruno Garcia 02 00001103
43,2026-02-24,1020,Bancos,0.00,57160.16,Pago factura INV-00251,INV-00251,CC-100 Operaciones,Bruno Garcia 02 00001103
44,2026-02-14,1180,IVA acreditable,7884.16,0.00,Registro factura INV-00251,INV-00251,CC-100 Operaciones,Diego Luna 04 00001103
45,2026-06-17,1180,IVA acreditable,9122.08,0.00,Registro factura INV-00217,INV-00217,CC-100 Operaciones,Carla Soto 09 00001103
46,2026-05-10,1020,Bancos,0.00,57642.72,Pago factura INV-00203,INV-00203,CC-100 Operaciones,Bruno Garcia 02 00001103
47,2026-06-26,2100,Cuentas por pagar,43198.40,0.00,Pago factura INV-00124,INV-00124,CC-100 Operaciones,Bruno Garcia 02 00001103
48,2026-02-16,4000,Ingresos por servicios,0.00,61500.00,Registro venta INV-00044,INV-00044,CC-100 Operaciones,Bruno Garcia 02 00001103
49,2026-02-15,2100,Cuentas por pagar,0.00,84719.44,Registro factura INV-00162,INV-00162,CC-100 Operaciones,Carla Soto 09 00001103
50,2026-03-18,5000,Gastos operativos,38458.00,0.00,Registro factura INV-00253,INV-00253,CC-100 Operaciones,Bruno Garcia 02 00001103
51,2026-05-02,2100,Cuentas por pagar,0.00,83646.44,Registro factura INV-00100,INV-00100,CC-100 Operaciones,Ana Ruiz 01 00001103
52,2026-05-28,2100,Cuentas por pagar,51633.92,0.00,Pago factura INV-00229,INV-00229,CC-100 Operaciones,Bruno Garcia 02 00001103
53,2026-06-05,2100,Cuentas por pagar,0.00,36131.68,Registro factura INV-00006,INV-00006,CC-100 Operaciones,Ana Ruiz 07 00001103
54,2026-02-12,1180,IVA acreditable,5848.48,0.00,Registro factura INV-00174,INV-00174,CC-100 Operaciones,Diego Luna 10 00001103
55,2026-03-31,5000,Gastos operativos,30405.00,0.00,Registro factura INV-00342,INV-00342,CC-100 Operaciones,Elena Mora 05 00001103
