entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-01-17,2100,Cuentas por pagar,0.00,104056.64,Registro factura INV-00185,INV-00185,CC-100 Operaciones,Diego Luna 04 00001204
2,2026-06-05,5000,Gastos operativos,55644.00,0.00,Registro factura INV-00101,INV-00101,CC-100 Operaciones,Ana Ruiz 01 00001204
3,2026-05-06,1020,Bancos,0.00,57715.80,Pago factura INV-00233,INV-00233,CC-100 Operaciones,Bruno Garcia 02 00001204
4,2026-01-21,1180,IVA acreditable,6620.64,0.00,Registro factura INV-00084,INV-00084,CC-100 Operaciones,Diego Luna 10 00001204
5,2026-06-30,1020,Bancos,0.00,35963.48,Pago factura INV-00314,INV-00314,CC-100 Operaciones,Bruno Garcia 02 00001204
6,2026-06-02,1180,IVA acreditable,7745.92,0.00,Registro factura INV-00283,INV-00283,CC-100 Operaciones,Diego Luna 10 00001204
7,2026-02-01,2100,Cuentas por pagar,0.00,77215.40,Registro factura INV-00322,INV-00322,CC-100 Operaciones,Carla Soto 09 00001204
8,2026-02-21,5000,Gastos operativos,120572.00,0.00,Registro factura INV-00151,INV-00151,CC-100 Operaciones,Elena Mora 05 00001204
9,2026-04-24,2100,Cuentas por pagar,0.00,84631.28,Registro factura INV-00243,INV-00243,CC-100 Operaciones,Carla Soto 09 00001204
10,2026-04-01,5000,Gastos operativos,61503.00,0.00,Registro factura INV-00168,INV-00168,CC-100 Operaciones,Bruno Garcia 02 00001204
11,2026-02-01,1180,IVA acreditable,6925.92,0.00,Registro factura INV-00180,INV-00180,CC-100 Operaciones,Ana Ruiz 01 00001204
12,2026-04-18,1020,Bancos,0.00,49300.00,Pago factura INV-00219,INV-00219,CC-100 Operaciones,Bruno Garcia 02 00001204
13,2026-04-02,2100,Cuentas por pagar,0.00,102494.12,Registro factura INV-00002,INV-00002,CC-100 Operaciones,Carla Soto 09 00001204
14,2026-06-29,5000,Gastos operativos,15960.00,0.00,Registro factura INV-00206,INV-00206,CC-100 Operaciones,Ana Ruiz 07 00001204
15,2026-01-19,5000,Gastos operativos,26419.00,0.00,Registro factura INV-00062,INV-00062,CC-100 Operaciones,Fabian Rios 06 00001204
16,2026-01-21,1020,Bancos,0.00,77463.64,Pago factura INV-00098,INV-00098,CC-100 Operaciones,Bruno Garcia 02 00001204
17,2026-02-04,5000,Gastos operativos,59543.00,0.00,Registro factura INV-00312,INV-00312,CC-100 Operaciones,Diego Luna 10 00001204
18,2026-03-26,2100,Cuentas por pagar,55878.36,0.00,Pago factura INV-00034,INV-00034,CC-100 Operaciones,Bruno Garcia 02 00001204
19,2026-02-12,1020,Bancos,0.00,47311.76,Pago factura INV-00340,INV-00340,CC-100 Operaciones,Bruno Garcia 02 00001204
20,2026-02-12,1180,IVA acreditable,4791.68,0.00,Registro factura INV-00279,INV-00279,CC-100 Operaciones,Diego Luna 10 00001204
21,2026-06-27,5000,Gastos operativos,51245.00,0.00,Registro factura INV-00048,INV-00048,CC-100 Operaciones,Ana Ruiz 01 00001204
22,2026-02-01,1020,Bancos,0.00,74995.16,Pago factura INV-00214,INV-00214,CC-100 Operaciones,Bruno Garcia 02 00001204
23,2026-06-07,1020,Bancos,0.00,79238.44,Pago factura INV-00355,INV-00355,CC-100 Operaciones,Bruno Garcia 02 00001204
24,2026-04-23,2100,Cuentas por pagar,0.00,39286.88,Registro factura INV-00371,INV-00371,CC-100 Operaciones,Diego Luna 04 00001204
