rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
DER811220EZL,Servicios Insumos 00001202-039 SA de CV,2024-04-15,"Av. Industria 139, Monterrey, Nuevo Leon",646180000123372559,Insumos,contacto00001202-039@proveedor.example.mx
DEM760913EWY,Servicios Insumos 00001202-034 SA de CV,2024-08-15,"Av. Industria 134, Monterrey, Nuevo Leon",646180000122976600,Insumos,contacto00001202-034@proveedor.example.mx
DEH710606EUL,Servicios Insumos 00001202-029 SA de CV,2024-03-15,"Av. Industria 129, Monterrey, Nuevo Leon",646180000122580656,Insumos,contacto00001202-029@proveedor.example.mx
DFH971220FHL,Servicios Mantenimiento 00001202-055 SA de CV,2020-02-15,"Av. Industria 155, Monterrey, Nuevo Leon",646180000124639592,Mantenimiento,contacto00001202-055@proveedor.example.mx
DDN810606EKL,Servicios Insumos 00001202-009 SA de CV,2024-01-15,"Av. Industria 109, Monterrey, Nuevo Leon",646180000120996857,Insumos,contacto00001202-009@proveedor.example.mx
DDQ840327ELY,Servicios Consultoria 00001202-012 SA de CV,2022-04-15,"Av. Industria 112, Monterrey, Nuevo Leon",646180000121234424,Consultoria,contacto00001202-012@proveedor.example.mx
DFF950606FGL,Servicios Consultoria 00001202-053 SA de CV,2023-09-15,"Av. Industria 153, Monterrey, Nuevo Leon",646180000124481216,Consultoria,contacto00001202-053@proveedor.example.mx
DDW900913EOY,Servicios Logistica 00001202-018 SA de CV,2023-01-15,"Av. Industria 118, Monterrey, Nuevo Leon",646180000121709564,Logistica,contacto00001202-018@proveedor.example.mx
DDF730606EGL,Servicios Mantenimiento 00001202-001 SA de CV,2021-02-15,"Av. Industria 101, Monterrey, Nuevo Leon",646180000120363338,Mantenimiento,contacto00001202-001@proveedor.example.mx
DDP831220ELL,Servicios Mantenimiento 00001202-011 SA de CV,2021-03-15,"Av. Industria 111, Monterrey, Nuevo Leon",646180000121155231,Mantenimiento,contacto00001202-011@proveedor.example.mx
DEO780327EXY,Servicios Mantenimiento 00001202-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000123134988,Mantenimiento,contacto00001202-036@proveedor.example.mx
DEB951220ERL,Servicios Logistica 00001202-023 SA de CV,2023-06-15,"Av. Industria 123, Monterrey, Nuevo Leon",646180000122105510,Logistica,contacto00001202-023@proveedor.example.mx
DDX911220EPL,Servicios Insumos 00001202-019 SA de CV,2024-02-15,"Av. Industria 119, Monterrey, Nuevo Leon",646180000121788750,Insumos,contacto00001202-019@proveedor.example.mx
DDG740913EGY,Servicios Consultoria 00001202-002 SA de CV,2022-03-15,"Av. Industria 102, Monterrey, Nuevo Leon",646180000120442521,Consultoria,contacto00001202-002@proveedor.example.mx
DDZ930606EQL,Servicios Mantenimiento 00001202-021 SA de CV,2021-04-15,"Av. Industria 121, Monterrey, Nuevo Leon",646180000121947135,Mantenimiento,contacto00001202-021@proveedor.example.mx
DEW860327FBY,Servicios Insumos 00001202-044 SA de CV,2024-09-15,"Av. Industria 144, Monterrey, Nuevo Leon",646180000123768503,Insumos,contacto00001202-044@proveedor.example.mx
DFG960913FGY,Servicios Insumos 00001202-054 SA de CV,2024-01-15,"Av. Industria 154, Monterrey, Nuevo Leon",646180000124560409,Insumos,contacto00001202-054@proveedor.example.mx
DDL791220EJL,Servicios Consultoria 00001202-007 SA de CV,2022-08-15,"Av. Industria 107, Monterrey, Nuevo Leon",646180000120838478,Consultoria,contacto00001202-007@proveedor.example.mx
DEN771220EXL,Servicios Tecnologia 00001202-035 SA de CV,2020-09-15,"Av. Industria 135, Monterrey, Nuevo Leon",646180000123055795,Tecnologia,contacto00001202-035@proveedor.example.mx
DEC960327ERY,Servicios Insumos 00001202-024 SA de CV,2024-07-15,"Av. Industria 124, Monterrey, Nuevo Leon",646180000122184706,Insumos,contacto00001202-024@proveedor.example.mx
DDM800327EJY,Servicios Logistica 00001202-008 SA de CV,2023-09-15,"Av. Industria 108, Monterrey, Nuevo Leon",646180000120917661,Logistica,contacto00001202-008@proveedor.example.mx
DFE940327FFY,Servicios Insumos 00001202-052 SA de CV,2022-08-15,"Av. Industria 152, Monterrey, Nuevo Leon",646180000124402020,Insumos,contacto00001202-052@proveedor.example.mx
DFA900327FDY,Servicios Logistica 00001202-048 SA de CV,2023-04-15,"Av. Industria 148, Monterrey, Nuevo Leon",646180000124085269,Logistica,contacto00001202-048@proveedor.example.mx
