rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
YOF990804BWB,Servicios Consultoria 00001102-007 SA de CV,2022-08-15,"Av. Industria 107, Monterrey, Nuevo Leon",646180000110831472,Consultoria,contacto00001102-007@proveedor.example.mx
YPF950218CJB,Servicios Logistica 00001102-033 SA de CV,2023-07-15,"Av. Industria 133, Monterrey, Nuevo Leon",646180000112890411,Logistica,contacto00001102-033@proveedor.example.mx
YOY880525CFO,Servicios Mantenimiento 00001102-026 SA de CV,2021-09-15,"Av. Industria 126, Monterrey, Nuevo Leon",646180000112336085,Mantenimiento,contacto00001102-026@proveedor.example.mx
YON770804CAB,Servicios Tecnologia 00001102-015 SA de CV,2020-07-15,"Av. Industria 115, Monterrey, Nuevo Leon",646180000111464990,Tecnologia,contacto00001102-015@proveedor.example.mx
YPS780525CPO,Servicios Mantenimiento 00001102-046 SA de CV,2021-02-15,"Av. Industria 146, Monterrey, Nuevo Leon",646180000113919883,Mantenimiento,contacto00001102-046@proveedor.example.mx
YOX870218CFB,Servicios Tecnologia 00001102-025 SA de CV,2020-08-15,"Av. Industria 125, Monterrey, Nuevo Leon",646180000112256893,Tecnologia,contacto00001102-025@proveedor.example.mx
YPN730218CNB,Servicios Mantenimiento 00001102-041 SA de CV,2021-06-15,"Av. Industria 141, Monterrey, Nuevo Leon",646180000113523936,Mantenimiento,contacto00001102-041@proveedor.example.mx
YOI720525BXO,Servicios Tecnologia 00001102-010 SA de CV,2020-02-15,"Av. Industria 110, Monterrey, Nuevo Leon",646180000111069049,Tecnologia,contacto00001102-010@proveedor.example.mx
YPI981111CKO,Servicios Mantenimiento 00001102-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000113127989,Mantenimiento,contacto00001102-036@proveedor.example.mx
YPW820525CRO,Servicios Tecnologia 00001102-050 SA de CV,2020-06-15,"Av. Industria 150, Monterrey, Nuevo Leon",646180000114236646,Tecnologia,contacto00001102-050@proveedor.example.mx
YPQ761111COO,Servicios Insumos 00001102-044 SA de CV,2024-09-15,"Av. Industria 144, Monterrey, Nuevo Leon",646180000113761507,Insumos,contacto00001102-044@proveedor.example.mx
YPV810218CRB,Servicios Insumos 00001102-049 SA de CV,2024-05-15,"Av. Industria 149, Monterrey, Nuevo Leon",646180000114157453,Insumos,contacto00001102-049@proveedor.example.mx
YOM760525BZO,Servicios Insumos 00001102-014 SA de CV,2024-06-15,"Av. Industria 114, Monterrey, Nuevo Leon",646180000111385804,Insumos,contacto00001102-014@proveedor.example.mx
YPA901111CGO,Servicios Logistica 00001102-028 SA de CV,2023-02-15,"Av. Industria 128, Monterrey, Nuevo Leon",646180000112494464,Logistica,contacto00001102-028@proveedor.example.mx
YPO740525CNO,Servicios Consultoria 00001102-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000113603128,Consultoria,contacto00001102-042@proveedor.example.mx
YOB950804BUB,Servicios Logistica 00001102-003 SA de CV,2023-04-15,"Av. Industria 103, Monterrey, Nuevo Leon",646180000110514715,Logistica,contacto00001102-003@proveedor.example.mx
YOL750218BZB,Servicios Logistica 00001102-013 SA de CV,2023-05-15,"Av. Industria 113, Monterrey, Nuevo Leon",646180000111306618,Logistica,contacto00001102-013@proveedor.example.mx
YOS821111CCO,Servicios Tecnologia 00001102-020 SA de CV,2020-03-15,"Av. Industria 120, Monterrey, Nuevo Leon",646180000111860947,Tecnologia,contacto00001102-020@proveedor.example.mx
