rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
YTA741107COA,Servicios Insumos 00001105-039 SA de CV,2024-04-15,"Av. Industria 139, Monterrey, Nuevo Leon",646180000113665768,Insumos,contacto00001105-039@proveedor.example.mx
YTF790214CQN,Servicios Insumos 00001105-044 SA de CV,2024-09-15,"Av. Industria 144, Monterrey, Nuevo Leon",646180000114061714,Insumos,contacto00001105-044@proveedor.example.mx
YSL890214CGN,Servicios Insumos 00001105-024 SA de CV,2024-07-15,"Av. Industria 124, Monterrey, Nuevo Leon",646180000112477915,Insumos,contacto00001105-024@proveedor.example.mx
YTG800521CRA,Servicios Tecnologia 00001105-045 SA de CV,2020-01-15,"Av. Industria 145, Monterrey, Nuevo Leon",646180000114140907,Tecnologia,contacto00001105-045@proveedor.example.mx
YTI821107CSA,Servicios Consultoria 00001105-047 SA de CV,2022-03-15,"Av. Industria 147, Monterrey, Nuevo Leon",646180000114299285,Consultoria,contacto00001105-047@proveedor.example.mx
YSJ870828CFN,Servicios Consultoria 00001105-022 SA de CV,2022-05-15,"Av. Industria 122, Monterrey, Nuevo Leon",646180000112319536,Consultoria,contacto00001105-022@proveedor.example.mx
YSH850214CEN,Servicios Tecnologia 00001105-020 SA de CV,2020-03-15,"Av. Industria 120, Monterrey, Nuevo Leon",646180000112161153,Tecnologia,contacto00001105-020@proveedor.example.mx
YRO960521BVA,Servicios Mantenimiento 00001105-001 SA de CV,2021-02-15,"Av. Industria 101, Monterrey, Nuevo Leon",646180000110656547,Mantenimiento,contacto00001105-001@proveedor.example.mx
YTC760521CPA,Servicios Mantenimiento 00001105-041 SA de CV,2021-06-15,"Av. Industria 141, Monterrey, Nuevo Leon",646180000113824143,Mantenimiento,contacto00001105-041@proveedor.example.mx
YSY720521CNA,Servicios Consultoria 00001105-037 SA de CV,2022-02-15,"Av. Industria 137, Monterrey, Nuevo Leon",646180000113507389,Consultoria,contacto00001105-037@proveedor.example.mx
YSF830828CDN,Servicios Logistica 00001105-018 SA de CV,2023-01-15,"Av. Industria 118, Monterrey, Nuevo Leon",646180000112002775,Logistica,contacto00001105-018@proveedor.example.mx
YSM900521CHA,Servicios Tecnologia 00001105-025 SA de CV,2020-08-15,"Av. Industria 125, Monterrey, Nuevo Leon",646180000112557107,Tecnologia,contacto00001105-025@proveedor.example.mx
YTL850828CTN,Servicios Tecnologia 00001105-050 SA de CV,2020-06-15,"Av. Industria 150, Monterrey, Nuevo Leon",646180000114536854,Tecnologia,contacto00001105-050@proveedor.example.mx
YRQ981107BWA,Servicios Logistica 00001105-003 SA de CV,2023-04-15,"Av. Industria 103, Monterrey, Nuevo Leon",646180000110814923,Logistica,contacto00001105-003@proveedor.example.mx
YSN910828CHN,Servicios Mantenimiento 00001105-026 SA de CV,2021-09-15,"Av. Industria 126, Monterrey, Nuevo Leon",646180000112636293,Mantenimiento,contacto00001105-026@proveedor.example.mx
YRW740521BZA,Servicios Insumos 00001105-009 SA de CV,2024-01-15,"Av. Industria 109, Monterrey, Nuevo Leon",646180000111290067,Insumos,contacto00001105-009@proveedor.example.mx
YRY761107CAA,Servicios Mantenimiento 00001105-011 SA de CV,2021-03-15,"Av. Industria 111, Monterrey, Nuevo Leon",646180000111448440,Mantenimiento,contacto00001105-011@proveedor.example.mx
YTK840521CTA,Servicios Insumos 00001105-049 SA de CV,2024-05-15,"Av. Industria 149, Monterrey, Nuevo Leon",646180000114457661,Insumos,contacto00001105-049@proveedor.example.mx
YSE820521CDA,Servicios Consultoria 00001105-017 SA de CV,2022-09-15,"Av. Industria 117, Monterrey, Nuevo Leon",646180000111923583,Consultoria,contacto00001105-017@proveedor.example.mx
YSK881107CGA,Servicios Logistica 00001105-023 SA de CV,2023-06-15,"Av. Industria 123, Monterrey, Nuevo Leon",646180000112398722,Logistica,contacto00001105-023@proveedor.example.mx
YSW701107CMA,Servicios Tecnologia 00001105-035 SA de CV,2020-09-15,"Av. Industria 135, Monterrey, Nuevo Leon",646180000113349000,Tecnologia,contacto00001105-035@proveedor.example.mx
YSS961107CKA,Servicios Mantenimiento 00001105-031 SA de CV,2021-05-15,"Av. Industria 131, Monterrey, Nuevo Leon",646180000113032249,Mantenimiento,contacto00001105-031@proveedor.example.mx
YSV990828CLN,Servicios Insumos 00001105-034 SA de CV,2024-08-15,"Av. Industria 134, Monterrey, Nuevo Leon",646180000113269818,Insumos,contacto00001105-034@proveedor.example.mx
YRV730214BYN,Servicios Logistica 00001105-008 SA de CV,2023-09-15,"Av. Industria 108, Monterrey, Nuevo Leon",646180000111210872,Logistica,contacto00001105-008@proveedor.example.mx
YSR950828CJN,Servicios Tecnologia 00001105-030 SA de CV,2020-04-15,"Av. Industria 130, Monterrey, Nuevo Leon",646180000112953057,Tecnologia,contacto00001105-030@proveedor.example.mx
YSD810214CCN,Servicios Mantenimiento 00001105-016 SA de CV,2021-08-15,"Av. Industria 116, Monterrey, Nuevo Leon",646180000111844390,Mantenimiento,contacto00001105-016@proveedor.example.mx
YSO921107CIA,Servicios Consultoria 00001105-027 SA de CV,2022-01-15,"Av. Industria 127, Monterrey, Nuevo Leon",646180000112715486,Consultoria,contacto00001105-027@proveedor.example.mx
YSA780521CBA,Servicios Logistica 00001105-013 SA de CV,2023-05-15,"Av. Industria 113, Monterrey, Nuevo Leon",646180000111606826,Logistica,contacto00001105-013@proveedor.example.mx
YRR990214BWN,Servicios Insumos 00001105-004 SA de CV,2024-05-15,"Av. Industria 104, Monterrey, Nuevo Leon",646180000110894118,Insumos,contacto00001105-004@proveedor.example.mx
YSU980521CLA,Servicios Logistica 00001105-033 SA de CV,2023-07-15,"Av. Industria 133, Monterrey, Nuevo Leon",646180000113190628,Logistica,contacto00001105-033@proveedor.example.mx
YTD770828CPN,Servicios Consultoria 00001105-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000113903336,Consultoria,contacto00001105-042@proveedor.example.mx
YST970214CKN,Servicios Consultoria 00001105-032 SA de CV,2022-06-15,"Av. Industria 132, Monterrey, Nuevo Leon",646180000113111432,Consultoria,contacto00001105-032@proveedor.example.mx
YTE781107CQA,Servicios Logistica 00001105-043 SA de CV,2023-08-15,"Av. Industria 143, Monterrey, Nuevo Leon",646180000113982522,Logistica,contacto00001105-043@proveedor.example.mx
YRT710828BXN,Servicios Mantenimiento 00001105-006 SA de CV,2021-07-15,"Av. Industria 106, Monterrey, Nuevo Leon",646180000111052496,Mantenimiento,contacto00001105-006@proveedor.example.mx
YRU721107BYA,Servicios Consultoria 00001105-007 SA de CV,2022-08-15,"Av. Industria 107, Monterrey, Nuevo Leon",646180000111131689,Consultoria,contacto00001105-007@proveedor.example.mx
YSQ940521CJA,Servicios Insumos 00001105-029 SA de CV,2024-03-15,"Av. Industria 129, Monterrey, Nuevo Leon",646180000112873865,Insumos,contacto00001105-029@proveedor.example.mx
YRS700521BXA,Servicios Tecnologia 00001105-005 SA de CV,2020-06-15,"Av. Industria 105, Monterrey, Nuevo Leon",646180000110973301,Tecnologia,contacto00001105-005@proveedor.example.mx
YRZ770214CAN,Servicios Consultoria 00001105-012 SA de CV,2022-04-15,"Av. Industria 112, Monterrey, Nuevo Leon",646180000111527633,Consultoria,contacto00001105-012@proveedor.example.mx
YSZ730828CNN,Servicios Logistica 00001105-038 SA de CV,2023-03-15,"Av. Industria 138, Monterrey, Nuevo Leon",646180000113586575,Logistica,contacto00001105-038@proveedor.example.mx
YRP970828BVN,Servicios Consultoria 00001105-002 SA de CV,2022-03-15,"Av. Industria 102, Monterrey, Nuevo Leon",646180000110735730,Consultoria,contacto00001105-002@proveedor.example.mx
YTJ830214CSN,Servicios Logistica 00001105-048 SA de CV,2023-04-15,"Av. Industria 148, Monterrey, Nuevo Leon",646180000114378478,Logistica,contacto00001105-048@proveedor.example.mx
YSB790828CBN,Servicios Insumos 00001105-014 SA de CV,2024-06-15,"Av. Industria 114, Monterrey, Nuevo Leon",646180000111686011,Insumos,contacto00001105-014@proveedor.example.mx
YSC801107CCA,Servicios Tecnologia 00001105-015 SA de CV,2020-07-15,"Av. Industria 115, Monterrey, Nuevo Leon",646180000111765204,Tecnologia,contacto00001105-015@proveedor.example.mx
YRX750828BZN,Servicios Tecnologia 00001105-010 SA de CV,2020-02-15,"Av. Industria 110, Monterrey, Nuevo Leon",646180000111369257,Tecnologia,contacto00001105-010@proveedor.example.mx
YSX710214CMN,Servicios Mantenimiento 00001105-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000113428196,Mantenimiento,contacto00001105-036@proveedor.example.mx
YSP930214CIN,Servicios Logistica 00001105-028 SA de CV,2023-02-15,"Av. Industria 128, Monterrey, Nuevo Leon",646180000112794672,Logistica,contacto00001105-028@proveedor.example.mx
