entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-02-11,2100,Cuentas por pagar,41192.76,0.00,Pago factura INV-00031,INV-00031,CC-100 Operaciones,Bruno Garcia 02 00001101
2,2026-04-11,1180,IVA acreditable,3227.04,0.00,Registro factura INV-00054,INV-00054,CC-100 Operaciones,Diego Luna 04 00001101
3,2026-03-07,1180,IVA acreditable,6124.64,0.00,Registro factura INV-00100,INV-00100,CC-100 Operaciones,Ana Ruiz 01 00001101
4,2026-06-02,2100,Cuentas por pagar,0.00,67706.88,Registro factura INV-00117,INV-00117,CC-100 Operaciones,Bruno Garcia 02 00001101
5,2026-02-25,1020,Bancos,0.00,46918.52,Pago factura INV-00103,INV-00103,CC-100 Operaciones,Bruno Garcia 02 00001101
6,2026-03-06,5000,Gastos operativos,14846.00,0.00,Registro factura INV-00192,INV-00192,CC-100 Operaciones,Bruno Garcia 02 00001101
7,2026-06-02,2100,Cuentas por pagar,24967.84,0.00,Pago factura INV-00112,INV-00112,CC-100 Operaciones,Bruno Garcia 02 00001101
8,2026-04-10,5000,Gastos operativos,66638.00,0.00,Registro factura INV-00310,INV-00310,CC-100 Operaciones,Carla Soto 09 00001101
9,2026-01-27,1020,Bancos,0.00,44822.40,Pago factura INV-00023,INV-00023,CC-100 Operaciones,Bruno Garcia 02 00001101
10,2026-03-10,1020,Bancos,0.00,16045.12,Pago factura INV-00001,INV-00001,CC-100 Operaciones,Bruno Garcia 02 00001101
11,2026-01-20,1180,IVA acreditable,5833.92,0.00,Registro factura INV-00062,INV-00062,CC-100 Operaciones,Carla Soto 03 00001101
12,2026-05-21,5000,Gastos operativos,50799.00,0.00,Registro factura INV-00004,INV-00004,CC-100 Operaciones,Bruno Garcia 02 00001101
13,2026-05-29,1180,IVA acreditable,2966.72,0.00,Registro factura INV-00102,INV-00102,CC-100 Operaciones,Fabian Rios 06 00001101
14,2026-06-05,5000,Gastos operativos,31321.00,0.00,Registro factura INV-00107,INV-00107,CC-100 Operaciones,Carla Soto 09 00001101
15,2026-03-21,2100,Cuentas por pagar,69670.76,0.00,Pago factura INV-00170,INV-00170,CC-100 Operaciones,Bruno Garcia 02 00001101
16,2026-06-26,1020,Bancos,0.00,78591.16,Pago factura INV-00226,INV-00226,CC-100 Operaciones,Bruno Garcia 02 00001101
