uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00053,HTD711228HRR,HRF810614GSR,2026-06-22,23735.00,3797.60,27532.60,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00208,HRF810614GSR,IZS720921XZE,2026-03-23,55000.00,8800.00,63800.00,Venta cancelada con reversion,G03,03,PPD,cancelado
INV-00092,HSV931228HNR,HRF810614GSR,2026-03-25,84192.00,13470.72,97662.72,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00278,HSI800921HHE,HRF810614GSR,2026-04-22,66585.00,10653.60,77238.60,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00144,HRM880307GWE,HRF810614GSR,2026-02-12,18709.00,2993.44,21702.44,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00049,HSA720921HDE,HRF810614GSR,2026-01-24,18380.00,2940.80,21320.80,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00262,HSK820307HIE,HRF810614GSR,2026-05-17,30583.00,4893.28,35476.28,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00201,HSY960921HPE,HRF810614GSR,2026-04-30,36650.00,5864.00,42514.00,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00360,HRR930614GYR,HRF810614GSR,2026-04-10,55899.00,8943.84,64842.84,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00030,HTB990614HQR,HRF810614GSR,2026-05-29,34248.00,5479.68,39727.68,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00172,HSV931228HNR,HRF810614GSR,2026-03-30,49014.00,7842.24,56856.24,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00279,HRM880307GWE,HRF810614GSR,2026-02-11,75882.00,12141.12,88023.12,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00001,HTD711228HRR,HRF810614GSR,2026-06-21,35436.00,5669.76,41105.76,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00235,HRW980921HBE,HRF810614GSR,2026-06-03,36903.00,5904.48,42807.48,Servicios de consultoria operativa,G03,03,PPD,vigente
