rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
UAH931002ZZR,Servicios Mantenimiento 00001002-041 SA de CV,2021-06-15,"Av. Industria 141, Monterrey, Nuevo Leon",646180000103516937,Mantenimiento,contacto00001002-041@proveedor.example.mx
TZC920109ZKE,Servicios Tecnologia 00001002-010 SA de CV,2020-02-15,"Av. Industria 110, Monterrey, Nuevo Leon",646180000101062043,Tecnologia,contacto00001002-010@proveedor.example.mx
TZM720723ZPE,Servicios Tecnologia 00001002-020 SA de CV,2020-03-15,"Av. Industria 120, Monterrey, Nuevo Leon",646180000101853948,Tecnologia,contacto00001002-020@proveedor.example.mx
UAT751002AFR,Servicios Consultoria 00001002-053 SA de CV,2023-09-15,"Av. Industria 153, Monterrey, Nuevo Leon",646180000104467218,Consultoria,contacto00001002-053@proveedor.example.mx
TZP750416ZQR,Servicios Logistica 00001002-023 SA de CV,2023-06-15,"Av. Industria 123, Monterrey, Nuevo Leon",646180000102091518,Logistica,contacto00001002-023@proveedor.example.mx
TZJ991002ZNR,Servicios Consultoria 00001002-017 SA de CV,2022-09-15,"Av. Industria 117, Monterrey, Nuevo Leon",646180000101616376,Consultoria,contacto00001002-017@proveedor.example.mx
TZG960109ZME,Servicios Insumos 00001002-014 SA de CV,2024-06-15,"Av. Industria 114, Monterrey, Nuevo Leon",646180000101378805,Insumos,contacto00001002-014@proveedor.example.mx
TZA900723ZJE,Servicios Logistica 00001002-008 SA de CV,2023-09-15,"Av. Industria 108, Monterrey, Nuevo Leon",646180000100903666,Logistica,contacto00001002-008@proveedor.example.mx
TYU840109ZGE,Servicios Consultoria 00001002-002 SA de CV,2022-03-15,"Av. Industria 102, Monterrey, Nuevo Leon",646180000100428523,Consultoria,contacto00001002-002@proveedor.example.mx
UAR730416AER,Servicios Logistica 00001002-051 SA de CV,2021-07-15,"Av. Industria 151, Monterrey, Nuevo Leon",646180000104308830,Logistica,contacto00001002-051@proveedor.example.mx
UAI940109AAE,Servicios Consultoria 00001002-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000103596122,Consultoria,contacto00001002-042@proveedor.example.mx
UAC880723ZXE,Servicios Mantenimiento 00001002-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000103120983,Mantenimiento,contacto00001002-036@proveedor.example.mx
TYV850416ZGR,Servicios Logistica 00001002-003 SA de CV,2023-04-15,"Av. Industria 103, Monterrey, Nuevo Leon",646180000100507716,Logistica,contacto00001002-003@proveedor.example.mx
TZR771002ZRR,Servicios Tecnologia 00001002-025 SA de CV,2020-08-15,"Av. Industria 125, Monterrey, Nuevo Leon",646180000102249894,Tecnologia,contacto00001002-025@proveedor.example.mx
TZN731002ZPR,Servicios Mantenimiento 00001002-021 SA de CV,2021-04-15,"Av. Industria 121, Monterrey, Nuevo Leon",646180000101933130,Mantenimiento,contacto00001002-021@proveedor.example.mx
TYW860723ZHE,Servicios Insumos 00001002-004 SA de CV,2024-05-15,"Av. Industria 104, Monterrey, Nuevo Leon",646180000100586902,Insumos,contacto00001002-004@proveedor.example.mx
