rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
YPJ990626BWF,Servicios Mantenimiento 00001103-006 SA de CV,2021-07-15,"Av. Industria 106, Monterrey, Nuevo Leon",646180000110852354,Mantenimiento,contacto00001103-006@proveedor.example.mx
YQO700319CLS,Servicios Consultoria 00001103-037 SA de CV,2022-02-15,"Av. Industria 137, Monterrey, Nuevo Leon",646180000113307246,Consultoria,contacto00001103-037@proveedor.example.mx
YPL711212BXF,Servicios Logistica 00001103-008 SA de CV,2023-09-15,"Av. Industria 108, Monterrey, Nuevo Leon",646180000111010739,Logistica,contacto00001103-008@proveedor.example.mx
YPR770626CAF,Servicios Insumos 00001103-014 SA de CV,2024-06-15,"Av. Industria 114, Monterrey, Nuevo Leon",646180000111485872,Insumos,contacto00001103-014@proveedor.example.mx
YQP710626CMF,Servicios Logistica 00001103-038 SA de CV,2023-03-15,"Av. Industria 138, Monterrey, Nuevo Leon",646180000113386432,Logistica,contacto00001103-038@proveedor.example.mx
YQW780319CPS,Servicios Tecnologia 00001103-045 SA de CV,2020-01-15,"Av. Industria 145, Monterrey, Nuevo Leon",646180000113940768,Tecnologia,contacto00001103-045@proveedor.example.mx
YQE900905CGS,Servicios Consultoria 00001103-027 SA de CV,2022-01-15,"Av. Industria 127, Monterrey, Nuevo Leon",646180000112515343,Consultoria,contacto00001103-027@proveedor.example.mx
YQN991212CLF,Servicios Mantenimiento 00001103-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000113228053,Mantenimiento,contacto00001103-036@proveedor.example.mx
YQA860905CES,Servicios Logistica 00001103-023 SA de CV,2023-06-15,"Av. Industria 123, Monterrey, Nuevo Leon",646180000112198582,Logistica,contacto00001103-023@proveedor.example.mx
YPP751212BZF,Servicios Consultoria 00001103-012 SA de CV,2022-04-15,"Av. Industria 112, Monterrey, Nuevo Leon",646180000111327493,Consultoria,contacto00001103-012@proveedor.example.mx
YPT791212CBF,Servicios Mantenimiento 00001103-016 SA de CV,2021-08-15,"Av. Industria 116, Monterrey, Nuevo Leon",646180000111644257,Mantenimiento,contacto00001103-016@proveedor.example.mx
YQB871212CFF,Servicios Insumos 00001103-024 SA de CV,2024-07-15,"Av. Industria 124, Monterrey, Nuevo Leon",646180000112277775,Insumos,contacto00001103-024@proveedor.example.mx
YQS740319CNS,Servicios Mantenimiento 00001103-041 SA de CV,2021-06-15,"Av. Industria 141, Monterrey, Nuevo Leon",646180000113624000,Mantenimiento,contacto00001103-041@proveedor.example.mx
YPS780905CAS,Servicios Tecnologia 00001103-015 SA de CV,2020-07-15,"Av. Industria 115, Monterrey, Nuevo Leon",646180000111565064,Tecnologia,contacto00001103-015@proveedor.example.mx
YQF911212CHF,Servicios Logistica 00001103-028 SA de CV,2023-02-15,"Av. Industria 128, Monterrey, Nuevo Leon",646180000112594539,Logistica,contacto00001103-028@proveedor.example.mx
YQK960319CJS,Servicios Logistica 00001103-033 SA de CV,2023-07-15,"Av. Industria 133, Monterrey, Nuevo Leon",646180000112990489,Logistica,contacto00001103-033@proveedor.example.mx
YPH971212BVF,Servicios Insumos 00001103-004 SA de CV,2024-05-15,"Av. Industria 104, Monterrey, Nuevo Leon",646180000110693979,Insumos,contacto00001103-004@proveedor.example.mx
YPM720319BXS,Servicios Insumos 00001103-009 SA de CV,2024-01-15,"Av. Industria 109, Monterrey, Nuevo Leon",646180000111089922,Insumos,contacto00001103-009@proveedor.example.mx
YQJ951212CJF,Servicios Consultoria 00001103-032 SA de CV,2022-06-15,"Av. Industria 132, Monterrey, Nuevo Leon",646180000112911293,Consultoria,contacto00001103-032@proveedor.example.mx
YPK700905BWS,Servicios Consultoria 00001103-007 SA de CV,2022-08-15,"Av. Industria 107, Monterrey, Nuevo Leon",646180000110931547,Consultoria,contacto00001103-007@proveedor.example.mx
YRB830626CSF,Servicios Tecnologia 00001103-050 SA de CV,2020-06-15,"Av. Industria 150, Monterrey, Nuevo Leon",646180000114336711,Tecnologia,contacto00001103-050@proveedor.example.mx
YQL970626CKF,Servicios Insumos 00001103-034 SA de CV,2024-08-15,"Av. Industria 134, Monterrey, Nuevo Leon",646180000113069678,Insumos,contacto00001103-034@proveedor.example.mx
YPV810626CCF,Servicios Logistica 00001103-018 SA de CV,2023-01-15,"Av. Industria 118, Monterrey, Nuevo Leon",646180000111802633,Logistica,contacto00001103-018@proveedor.example.mx
YQV771212CPF,Servicios Insumos 00001103-044 SA de CV,2024-09-15,"Av. Industria 144, Monterrey, Nuevo Leon",646180000113861575,Insumos,contacto00001103-044@proveedor.example.mx
YQG920319CHS,Servicios Insumos 00001103-029 SA de CV,2024-03-15,"Av. Industria 129, Monterrey, Nuevo Leon",646180000112673722,Insumos,contacto00001103-029@proveedor.example.mx
YQZ811212CRF,Servicios Logistica 00001103-048 SA de CV,2023-04-15,"Av. Industria 148, Monterrey, Nuevo Leon",646180000114178335,Logistica,contacto00001103-048@proveedor.example.mx
YQT750626COF,Servicios Consultoria 00001103-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000113703196,Consultoria,contacto00001103-042@proveedor.example.mx
YPQ760319BZS,Servicios Logistica 00001103-013 SA de CV,2023-05-15,"Av. Industria 113, Monterrey, Nuevo Leon",646180000111406686,Logistica,contacto00001103-013@proveedor.example.mx
YRC840905CSS,Servicios Logistica 00001103-051 SA de CV,2021-07-15,"Av. Industria 151, Monterrey, Nuevo Leon",646180000114415904,Logistica,contacto00001103-051@proveedor.example.mx
YPF950626BUF,Servicios Consultoria 00001103-002 SA de CV,2022-03-15,"Av. Industria 102, Monterrey, Nuevo Leon",646180000110535590,Consultoria,contacto00001103-002@proveedor.example.mx
YQU760905COS,Servicios Logistica 00001103-043 SA de CV,2023-08-15,"Av. Industria 143, Monterrey, Nuevo Leon",646180000113782382,Logistica,contacto00001103-043@proveedor.example.mx
YPY840319CDS,Servicios Mantenimiento 00001103-021 SA de CV,2021-04-15,"Av. Industria 121, Monterrey, Nuevo Leon",646180000112040203,Mantenimiento,contacto00001103-021@proveedor.example.mx
YQM980905CKS,Servicios Tecnologia 00001103-035 SA de CV,2020-09-15,"Av. Industria 135, Monterrey, Nuevo Leon",646180000113148861,Tecnologia,contacto00001103-035@proveedor.example.mx
YPN730626BYF,Servicios Tecnologia 00001103-010 SA de CV,2020-02-15,"Av. Industria 110, Monterrey, Nuevo Leon",646180000111169114,Tecnologia,contacto00001103-010@proveedor.example.mx
YRA820319CRS,Servicios Insumos 00001103-049 SA de CV,2024-05-15,"Av. Industria 149, Monterrey, Nuevo Leon",646180000114257528,Insumos,contacto00001103-049@proveedor.example.mx
YPX831212CDF,Servicios Tecnologia 00001103-020 SA de CV,2020-03-15,"Av. Industria 120, Monterrey, Nuevo Leon",646180000111961011,Tecnologia,contacto00001103-020@proveedor.example.mx
YPO740905BYS,Servicios Mantenimiento 00001103-011 SA de CV,2021-03-15,"Av. Industria 111, Monterrey, Nuevo Leon",646180000111248307,Mantenimiento,contacto00001103-011@proveedor.example.mx
YQQ720905CMS,Servicios Insumos 00001103-039 SA de CV,2024-04-15,"Av. Industria 139, Monterrey, Nuevo Leon",646180000113465625,Insumos,contacto00001103-039@proveedor.example.mx
YQI940905CIS,Servicios Mantenimiento 00001103-031 SA de CV,2021-05-15,"Av. Industria 131, Monterrey, Nuevo Leon",646180000112832107,Mantenimiento,contacto00001103-031@proveedor.example.mx
YQX790626CQF,Servicios Mantenimiento 00001103-046 SA de CV,2021-02-15,"Av. Industria 146, Monterrey, Nuevo Leon",646180000114019957,Mantenimiento,contacto00001103-046@proveedor.example.mx
YPZ850626CEF,Servicios Consultoria 00001103-022 SA de CV,2022-05-15,"Av. Industria 122, Monterrey, Nuevo Leon",646180000112119396,Consultoria,contacto00001103-022@proveedor.example.mx
YPE940319BTS,Servicios Mantenimiento 00001103-001 SA de CV,2021-02-15,"Av. Industria 101, Monterrey, Nuevo Leon",646180000110456404,Mantenimiento,contacto00001103-001@proveedor.example.mx
YPG960905BUS,Servicios Logistica 00001103-003 SA de CV,2023-04-15,"Av. Industria 103, Monterrey, Nuevo Leon",646180000110614783,Logistica,contacto00001103-003@proveedor.example.mx
YQR731212CNF,Servicios Tecnologia 00001103-040 SA de CV,2020-05-15,"Av. Industria 140, Monterrey, Nuevo Leon",646180000113544818,Tecnologia,contacto00001103-040@proveedor.example.mx
YQD890626CGF,Servicios Mantenimiento 00001103-026 SA de CV,2021-09-15,"Av. Industria 126, Monterrey, Nuevo Leon",646180000112436150,Mantenimiento,contacto00001103-026@proveedor.example.mx
YQY800905CQS,Servicios Consultoria 00001103-047 SA de CV,2022-03-15,"Av. Industria 147, Monterrey, Nuevo Leon",646180000114099142,Consultoria,contacto00001103-047@proveedor.example.mx
YPU800319CBS,Servicios Consultoria 00001103-017 SA de CV,2022-09-15,"Av. Industria 117, Monterrey, Nuevo Leon",646180000111723440,Consultoria,contacto00001103-017@proveedor.example.mx
YPI980319BVS,Servicios Tecnologia 00001103-005 SA de CV,2020-06-15,"Av. Industria 105, Monterrey, Nuevo Leon",646180000110773161,Tecnologia,contacto00001103-005@proveedor.example.mx
YQC880319CFS,Servicios Tecnologia 00001103-025 SA de CV,2020-08-15,"Av. Industria 125, Monterrey, Nuevo Leon",646180000112356968,Tecnologia,contacto00001103-025@proveedor.example.mx
YQH930626CIF,Servicios Tecnologia 00001103-030 SA de CV,2020-04-15,"Av. Industria 130, Monterrey, Nuevo Leon",646180000112752915,Tecnologia,contacto00001103-030@proveedor.example.mx
YPW820905CCS,Servicios Insumos 00001103-019 SA de CV,2024-02-15,"Av. Industria 119, Monterrey, Nuevo Leon",646180000111881829,Insumos,contacto00001103-019@proveedor.example.mx
