entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-03-18,1020,Bancos,0.00,59214.52,Pago factura INV-00114,INV-00114,CC-100 Operaciones,Bruno Garcia 02 00001104
2,2026-01-11,2100,Cuentas por pagar,0.00,71205.44,Registro factura INV-00225,INV-00225,CC-100 Operaciones,Fabian Rios 06 00001104
3,2026-06-17,2100,Cuentas por pagar,100465.28,0.00,Pago factura INV-00354,INV-00354,CC-100 Operaciones,Bruno Garcia 02 00001104
4,2026-01-18,5000,Gastos operativos,87039.00,0.00,Registro factura INV-00213,INV-00213,CC-100 Operaciones,Carla Soto 09 00001104
5,2026-03-21,2100,Cuentas por pagar,0.00,52828.72,Registro factura INV-00125,INV-00125,CC-100 Operaciones,Carla Soto 09 00001104
6,2026-04-12,5000,Gastos operativos,58816.00,0.00,Registro factura INV-00152,INV-00152,CC-100 Operaciones,Carla Soto 03 00001104
7,2026-02-24,2100,Cuentas por pagar,0.00,47986.88,Registro factura INV-00006,INV-00006,CC-100 Operaciones,Bruno Garcia 08 00001104
8,2026-03-08,2100,Cuentas por pagar,0.00,65522.60,Registro factura INV-00147,INV-00147,CC-100 Operaciones,Fabian Rios 06 00001104
9,2026-04-24,2100,Cuentas por pagar,0.00,33711.92,Registro factura INV-00013,INV-00013,CC-100 Operaciones,Carla Soto 09 00001104
10,2026-06-10,2100,Cuentas por pagar,89134.40,0.00,Pago factura INV-00071,INV-00071,CC-100 Operaciones,Bruno Garcia 02 00001104
11,2026-03-19,2100,Cuentas por pagar,92878.88,0.00,Pago factura INV-00330,INV-00330,CC-100 Operaciones,Bruno Garcia 02 00001104
12,2026-03-07,1180,IVA acreditable,5526.08,0.00,Registro factura INV-00025,INV-00025,CC-100 Operaciones,Carla Soto 09 00001104
13,2026-04-22,2100,Cuentas por pagar,67442.40,0.00,Pago factura INV-00140,INV-00140,CC-100 Operaciones,Bruno Garcia 02 00001104
14,2026-04-23,5000,Gastos operativos,32216.00,0.00,Registro factura INV-00333,INV-00333,CC-100 Operaciones,Diego Luna 04 00001104
15,2026-03-12,5000,Gastos operativos,42295.00,0.00,Registro factura INV-00344,INV-00344,CC-100 Operaciones,Bruno Garcia 02 00001104
16,2026-05-31,5000,Gastos operativos,37242.00,0.00,Registro factura INV-00018,INV-00018,CC-100 Operaciones,Bruno Garcia 08 00001104
17,2026-05-21,2100,Cuentas por pagar,0.00,66284.72,Registro factura INV-00104,INV-00104,CC-100 Operaciones,Diego Luna 04 00001104
18,2026-03-22,5000,Gastos operativos,70280.00,0.00,Registro factura INV-00146,INV-00146,CC-100 Operaciones,Fabian Rios 06 00001104
19,2026-04-07,1180,IVA acreditable,13435.36,0.00,Registro factura INV-00269,INV-00269,CC-100 Operaciones,Diego Luna 10 00001104
20,2026-05-07,1180,IVA acreditable,2384.00,0.00,Registro factura INV-00110,INV-00110,CC-100 Operaciones,Diego Luna 04 00001104
21,2026-01-23,2100,Cuentas por pagar,0.00,84301.84,Registro factura INV-00085,INV-00085,CC-100 Operaciones,Diego Luna 04 00001104
22,2026-02-12,2100,Cuentas por pagar,47919.60,0.00,Pago factura INV-00103,INV-00103,CC-100 Operaciones,Bruno Garcia 02 00001104
23,2026-02-01,5000,Gastos operativos,69047.00,0.00,Registro factura INV-00227,INV-00227,CC-100 Operaciones,Carla Soto 09 00001104
24,2026-06-26,2100,Cuentas por pagar,60836.20,0.00,Pago factura INV-00105,INV-00105,CC-100 Operaciones,Bruno Garcia 02 00001104
25,2026-05-05,2100,Cuentas por pagar,19820.92,0.00,Pago factura INV-00249,INV-00249,CC-100 Operaciones,Bruno Garcia 02 00001104
26,2026-05-30,2100,Cuentas por pagar,29380.48,0.00,Pago factura INV-00072,INV-00072,CC-100 Operaciones,Bruno Garcia 02 00001104
27,2026-01-24,2100,Cuentas por pagar,0.00,103867.56,Registro factura INV-00287,INV-00287,CC-100 Operaciones,Carla Soto 09 00001104
28,2026-03-26,1180,IVA acreditable,8122.88,0.00,Registro factura INV-00253,INV-00253,CC-100 Operaciones,Bruno Garcia 02 00001104
29,2026-03-09,5000,Gastos operativos,50725.00,0.00,Registro factura INV-00166,INV-00166,CC-100 Operaciones,Ana Ruiz 01 00001104
30,2026-04-09,5000,Gastos operativos,52652.00,0.00,Registro factura INV-00020,INV-00020,CC-100 Operaciones,Bruno Garcia 02 00001104
31,2026-05-12,2100,Cuentas por pagar,0.00,103923.24,Registro factura INV-00295,INV-00295,CC-100 Operaciones,Ana Ruiz 07 00001104
32,2026-02-06,1180,IVA acreditable,12581.44,0.00,Registro factura INV-00290,INV-00290,CC-100 Operaciones,Diego Luna 04 00001104
