po_id,vendor_rfc,date,amount,requester,approver,description
PO-00233,YRY761107CAA,2026-03-31,67391.36,Diego Luna 04 00001105,Elena Mora 05 00001105,Mantenimiento preventivo de instalaciones
PO-00197,YSS961107CKA,2026-05-18,59061.40,Diego Luna 04 00001105,Elena Mora 05 00001105,Mantenimiento preventivo de instalaciones
PO-00237,YRU721107BYA,2026-02-12,29980.20,Carla Soto 09 00001105,Diego Luna 10 00001105,Servicios de consultoria operativa
PO-00247,YTH810828CRN,2026-05-12,27855.08,Fabian Rios 06 00001105,Ana Ruiz 07 00001105,Mantenimiento preventivo de instalaciones
PO-00273,YST970214CKN,2026-05-25,19918.36,Ana Ruiz 07 00001105,Bruno Garcia 08 00001105,Servicios de consultoria operativa
PO-00037,YRV730214BYN,2026-02-26,63304.68,Ana Ruiz 01 00001105,Bruno Garcia 02 00001105,Servicios de logistica y entrega
PO-00299,YTJ830214CSN,2026-06-03,71556.92,Bruno Garcia 08 00001105,Carla Soto 09 00001105,Servicios de logistica y entrega
PO-00353,YSJ870828CFN,2026-02-06,96995.72,Ana Ruiz 01 00001105,Bruno Garcia 02 00001105,Servicios de consultoria operativa
PO-00225,YSM900521CHA,2026-03-09,88582.24,Diego Luna 10 00001105,Ana Ruiz 01 00001105,Soporte y licencias de tecnologia
PO-00192,YRY761107CAA,2026-03-29,56790.12,Diego Luna 10 00001105,Ana Ruiz 01 00001105,Mantenimiento preventivo de instalaciones
PO-00131,YRV730214BYN,2026-02-28,99032.68,Elena Mora 05 00001105,Fabian Rios 06 00001105,Servicios de logistica y entrega
PO-00275,YRP970828BVN,2026-05-05,21715.20,Ana Ruiz 01 00001105,Bruno Garcia 02 00001105,Cuota mensual: servicios de consultoria operativa
PO-00276,YTA741107COA,2026-02-19,67658.16,Diego Luna 04 00001105,Elena Mora 05 00001105,Suministro de insumos de produccion
PO-00098,YTG800521CRA,2026-05-02,74662.24,Bruno Garcia 02 00001105,Carla Soto 03 00001105,Soporte y licencias de tecnologia
PO-00209,YRO960521BVA,2026-01-05,49925.24,Ana Ruiz 01 00001105,Bruno Garcia 02 00001105,Cuota mensual: mantenimiento preventivo de instalaciones
PO-00191,YRQ981107BWA,2026-03-05,24211.52,Elena Mora 05 00001105,Fabian Rios 06 00001105,Cuota mensual: servicios de logistica y entrega
PO-00073,YRW740521BZA,2026-03-09,107878.84,Bruno Garcia 02 00001105,Carla Soto 03 00001105,Suministro de insumos de produccion
PO-00322,YRX750828BZN,2026-03-20,43430.40,Carla Soto 03 00001105,Diego Luna 04 00001105,Soporte y licencias de tecnologia
PO-00107,YRR990214BWN,2026-01-10,96420.36,Fabian Rios 06 00001105,Ana Ruiz 07 00001105,Suministro de insumos de produccion
PO-00121,YSH850214CEN,2026-01-16,99183.48,Fabian Rios 06 00001105,Ana Ruiz 07 00001105,Soporte y licencias de tecnologia
PO-00318,YTI821107CSA,2026-05-19,85892.20,Carla Soto 09 00001105,Diego Luna 10 00001105,Servicios de consultoria operativa
PO-00159,YSN910828CHN,2026-03-24,22043.48,Carla Soto 09 00001105,Diego Luna 10 00001105,Mantenimiento preventivo de instalaciones
PO-00058,YTF790214CQN,2026-04-17,45701.68,Carla Soto 03 00001105,Diego Luna 04 00001105,Suministro de insumos de produccion
PO-00108,YTB750214CON,2026-03-07,49875.36,Diego Luna 10 00001105,Ana Ruiz 01 00001105,Soporte y licencias de tecnologia
PO-00097,YSZ730828CNN,2026-02-08,107835.92,Carla Soto 03 00001105,Diego Luna 04 00001105,Servicios de logistica y entrega
PO-00309,YSL890214CGN,2026-02-28,76005.52,Carla Soto 03 00001105,Diego Luna 04 00001105,Suministro de insumos de produccion
PO-00351,YSW701107CMA,2026-01-09,30675.04,Ana Ruiz 01 00001105,Bruno Garcia 02 00001105,Soporte y licencias de tecnologia
PO-00305,YSY720521CNA,2026-02-01,23923.84,Diego Luna 10 00001105,Ana Ruiz 01 00001105,Servicios de consultoria operativa
PO-00179,YSU980521CLA,2026-06-06,28228.60,Elena Mora 05 00001105,Fabian Rios 06 00001105,Servicios de logistica y entrega
PO-00065,YTH810828CRN,2026-05-11,105235.20,Carla Soto 09 00001105,Diego Luna 10 00001105,Mantenimiento preventivo de instalaciones
PO-00096,YRX750828BZN,2026-03-17,16731.84,Bruno Garcia 02 00001105,Carla Soto 03 00001105,Soporte y licencias de tecnologia
PO-00007,YTD770828CPN,2026-03-25,82315.92,Diego Luna 04 00001105,Elena Mora 05 00001105,Servicios de consultoria operativa
PO-00036,YRR990214BWN,2026-01-11,108628.20,Carla Soto 03 00001105,Diego Luna 04 00001105,Suministro de insumos de produccion
PO-00094,YTB750214CON,2026-03-04,87953.52,Carla Soto 09 00001105,Diego Luna 10 00001105,Soporte y licencias de tecnologia
PO-00106,YTI821107CSA,2026-05-22,18467.20,Diego Luna 10 00001105,Ana Ruiz 01 00001105,Servicios de consultoria operativa
PO-00016,YSQ940521CJA,2026-04-27,27598.72,Carla Soto 09 00001105,Diego Luna 10 00001105,Suministro de insumos de produccion
