uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00084,YNB991010BVX,YMT911010BRX,2026-02-28,63515.00,10162.40,73677.40,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00101,YNJ771010BZX,YMT911010BRX,2026-05-24,17439.00,2790.24,20229.24,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00269,YMZ970424BUX,YMT911010BRX,2026-02-07,20726.00,3316.16,24042.16,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00075,YNF731010BXX,YMT911010BRX,2026-04-11,92808.00,14849.28,107657.28,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00234,YNR851010CDX,YMT911010BRX,2026-03-01,58097.00,9295.52,67392.52,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00336,YNL790424CAX,YMT911010BRX,2026-06-12,63439.00,10150.24,73589.24,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00116,YOM760117COK,YMT911010BRX,2026-04-26,84167.00,13466.72,97633.72,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00235,YNY920703CHK,YMT911010BRX,2026-05-16,26078.00,4172.48,30250.48,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00216,YMV930424BSX,YMT911010BRX,2026-01-05,44768.00,7162.88,51930.88,Cuota mensual: servicios de consultoria operativa,G03,03,PPD,vigente
INV-00098,YOB950424CIX,YMT911010BRX,2026-06-17,62051.00,9928.16,71979.16,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00319,YMT911010BRX,IJB811010ZVX,2026-01-30,38000.00,6080.00,44080.00,Venta a credito de servicios operativos 1,G03,03,PPD,vigente
INV-00094,YNP830424CCX,YMT911010BRX,2026-02-05,89191.00,14270.56,103461.56,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00107,YMW940703BTK,YMT911010BRX,2026-06-05,31321.00,5011.36,36332.36,Cuota mensual: servicios de logistica y entrega,G03,03,PPD,vigente
INV-00137,YNE720703BXK,YMT911010BRX,2026-03-31,16215.00,2594.40,18809.40,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00166,YOM760117COK,YMT911010BRX,2026-04-28,16944.00,2711.04,19655.04,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00273,YMU920117BSK,YMT911010BRX,2026-06-05,29738.00,4758.08,34496.08,Cuota mensual: mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00340,YOD971010CJX,YMT911010BRX,2026-01-23,81914.00,13106.24,95020.24,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00189,YNV891010CFX,YMT911010BRX,2026-04-14,83540.00,13366.40,96906.40,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00210,YNT870424CEX,YMT911010BRX,2026-03-25,93586.00,14973.76,108559.76,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00138,YOK740703CNK,YMT911010BRX,2026-04-05,57865.00,9258.40,67123.40,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00294,YNX910424CGX,YMT911010BRX,2026-05-03,92764.00,14842.24,107606.24,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00103,YNQ840703CDK,YMT911010BRX,2026-02-15,40447.00,6471.52,46918.52,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00142,YOL751010CNX,YMT911010BRX,2026-04-20,70588.00,11294.08,81882.08,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00069,YNQ840703CDK,YMT911010BRX,2026-02-16,57259.00,9161.44,66420.44,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00181,YOP791010CPX,YMT911010BRX,2026-06-01,67697.00,10831.52,78528.52,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00345,YNC700117BWK,YMT911010BRX,2026-03-10,71966.00,11514.56,83480.56,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00152,YOR810424CQX,YMT911010BRX,2026-06-23,48448.00,7751.68,56199.68,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00302,YOQ800117CQK,YMT911010BRX,2026-06-09,86167.00,13786.72,99953.72,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00248,YNX910424CGX,YMT911010BRX,2026-05-05,49632.00,7941.12,57573.12,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00244,YOG700703CLK,YMT911010BRX,2026-02-25,66714.00,10674.24,77388.24,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00173,YOP791010CPX,YMT911010BRX,2026-06-03,25263.00,4042.08,29305.08,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00054,YNV891010CFX,YMT911010BRX,2026-04-11,20169.00,3227.04,23396.04,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00299,YOL751010CNX,YMT911010BRX,2026-04-16,12872.00,2059.52,14931.52,Suministro de insumos de produccion,G03,03,PPD,vigente
