uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00040,TYB951208ZLN,TXN810622ZEN,2026-04-30,35884.00,5741.44,41625.44,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00358,TXQ840315ZGA,TXN810622ZEN,2026-06-05,42924.00,6867.84,49791.84,Cuota mensual: servicios de logistica y entrega,G03,03,PPD,vigente
INV-00138,TXS860901ZHA,TXN810622ZEN,2026-01-27,18541.00,2966.56,21507.56,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00285,TZB910622ZYN,TXN810622ZEN,2026-03-04,72380.00,11580.80,83960.80,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00035,TXS860901ZHA,TXN810622ZEN,2026-01-20,23963.00,3834.08,27797.08,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00080,TXT871208ZHN,TXN810622ZEN,2026-02-02,73137.00,11701.92,84838.92,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00164,TYN771208ZRN,TXN810622ZEN,2026-03-22,20220.00,3235.20,23455.20,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00338,TYW860315ZWA,TXN810622ZEN,2026-06-29,73205.00,11712.80,84917.80,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00017,TYZ891208ZXN,TXN810622ZEN,2026-02-09,41387.00,6621.92,48008.92,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00069,TZC920901ZZA,TXN810622ZEN,2026-03-16,32657.00,5225.12,37882.12,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00011,TYR811208ZTN,TXN810622ZEN,2026-05-03,45265.00,7242.40,52507.40,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00318,TYM760901ZRA,TXN810622ZEN,2026-03-11,51899.00,8303.84,60202.84,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00342,TZF950622AAN,TXN810622ZEN,2026-04-19,87917.00,14066.72,101983.72,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00187,TZJ990622ACN,TXN810622ZEN,2026-06-02,70698.00,11311.68,82009.68,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00245,TXV890622ZIN,TXN810622ZEN,2026-02-27,18073.00,2891.68,20964.68,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00097,TYK740315ZQA,TXN810622ZEN,2026-02-19,14331.00,2292.96,16623.96,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00304,TYY880901ZXA,TXN810622ZEN,2026-01-31,75252.00,12040.32,87292.32,Servicios de consultoria operativa,G03,03,PPD,vigente
