rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
YOC960703CJK,Servicios Tecnologia 00001101-035 SA de CV,2020-09-15,"Av. Industria 135, Monterrey, Nuevo Leon",646180000112948729,Tecnologia,contacto00001101-035@proveedor.example.mx
YOR810424CQX,Servicios Tecnologia 00001101-050 SA de CV,2020-06-15,"Av. Industria 150, Monterrey, Nuevo Leon",646180000114136571,Tecnologia,contacto00001101-050@proveedor.example.mx
YMZ970424BUX,Servicios Mantenimiento 00001101-006 SA de CV,2021-07-15,"Av. Industria 106, Monterrey, Nuevo Leon",646180000110652211,Mantenimiento,contacto00001101-006@proveedor.example.mx
YNV891010CFX,Servicios Logistica 00001101-028 SA de CV,2023-02-15,"Av. Industria 128, Monterrey, Nuevo Leon",646180000112394399,Logistica,contacto00001101-028@proveedor.example.mx
YNX910424CGX,Servicios Tecnologia 00001101-030 SA de CV,2020-04-15,"Av. Industria 130, Monterrey, Nuevo Leon",646180000112552775,Tecnologia,contacto00001101-030@proveedor.example.mx
YOL751010CNX,Servicios Insumos 00001101-044 SA de CV,2024-09-15,"Av. Industria 144, Monterrey, Nuevo Leon",646180000113661432,Insumos,contacto00001101-044@proveedor.example.mx
YMY960117BUK,Servicios Tecnologia 00001101-005 SA de CV,2020-06-15,"Av. Industria 105, Monterrey, Nuevo Leon",646180000110573028,Tecnologia,contacto00001101-005@proveedor.example.mx
YOS820703CRK,Servicios Consultoria 00001101-051 SA de CV,2021-07-15,"Av. Industria 151, Monterrey, Nuevo Leon",646180008029335456,Consultoria,contacto00001101-051@proveedor.example.mx
YMV930424BSX,Servicios Consultoria 00001101-002 SA de CV,2022-03-15,"Av. Industria 102, Monterrey, Nuevo Leon",646180000110335457,Consultoria,contacto00001101-002@proveedor.example.mx
YOP791010CPX,Servicios Logistica 00001101-048 SA de CV,2023-04-15,"Av. Industria 148, Monterrey, Nuevo Leon",646180000113978196,Logistica,contacto00001101-048@proveedor.example.mx
YNB991010BVX,Servicios Logistica 00001101-008 SA de CV,2023-09-15,"Av. Industria 108, Monterrey, Nuevo Leon",646180000110810590,Logistica,contacto00001101-008@proveedor.example.mx
YOG700703CLK,Servicios Insumos 00001101-039 SA de CV,2024-04-15,"Av. Industria 139, Monterrey, Nuevo Leon",646180000113265485,Insumos,contacto00001101-039@proveedor.example.mx
YNR851010CDX,Servicios Insumos 00001101-024 SA de CV,2024-07-15,"Av. Industria 124, Monterrey, Nuevo Leon",646180000112077632,Insumos,contacto00001101-024@proveedor.example.mx
YNI760703BZK,Servicios Tecnologia 00001101-015 SA de CV,2020-07-15,"Av. Industria 115, Monterrey, Nuevo Leon",646180000111364922,Tecnologia,contacto00001101-015@proveedor.example.mx
YMU920117BSK,Servicios Mantenimiento 00001101-001 SA de CV,2021-02-15,"Av. Industria 101, Monterrey, Nuevo Leon",646180000110256264,Mantenimiento,contacto00001101-001@proveedor.example.mx
YNW900117CGK,Servicios Insumos 00001101-029 SA de CV,2024-03-15,"Av. Industria 129, Monterrey, Nuevo Leon",646180000112473582,Insumos,contacto00001101-029@proveedor.example.mx
YOJ730424CMX,Servicios Consultoria 00001101-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000113503053,Consultoria,contacto00001101-042@proveedor.example.mx
YOM760117COK,Servicios Tecnologia 00001101-045 SA de CV,2020-01-15,"Av. Industria 145, Monterrey, Nuevo Leon",646180000113740625,Tecnologia,contacto00001101-045@proveedor.example.mx
YNA980703BVK,Servicios Consultoria 00001101-007 SA de CV,2022-08-15,"Av. Industria 107, Monterrey, Nuevo Leon",646180000110731404,Consultoria,contacto00001101-007@proveedor.example.mx
YOI720117CMK,Servicios Mantenimiento 00001101-041 SA de CV,2021-06-15,"Av. Industria 141, Monterrey, Nuevo Leon",646180000113423861,Mantenimiento,contacto00001101-041@proveedor.example.mx
YNM800703CBK,Servicios Insumos 00001101-019 SA de CV,2024-02-15,"Av. Industria 119, Monterrey, Nuevo Leon",646180000111681689,Insumos,contacto00001101-019@proveedor.example.mx
YNK780117CAK,Servicios Consultoria 00001101-017 SA de CV,2022-09-15,"Av. Industria 117, Monterrey, Nuevo Leon",646180000111523307,Consultoria,contacto00001101-017@proveedor.example.mx
YOF990424CKX,Servicios Logistica 00001101-038 SA de CV,2023-03-15,"Av. Industria 138, Monterrey, Nuevo Leon",646180000113186292,Logistica,contacto00001101-038@proveedor.example.mx
YNP830424CCX,Servicios Consultoria 00001101-022 SA de CV,2022-05-15,"Av. Industria 122, Monterrey, Nuevo Leon",646180000111919254,Consultoria,contacto00001101-022@proveedor.example.mx
YNO820117CCK,Servicios Mantenimiento 00001101-021 SA de CV,2021-04-15,"Av. Industria 121, Monterrey, Nuevo Leon",646180000111840064,Mantenimiento,contacto00001101-021@proveedor.example.mx
YOB950424CIX,Servicios Insumos 00001101-034 SA de CV,2024-08-15,"Av. Industria 134, Monterrey, Nuevo Leon",646180000112869536,Insumos,contacto00001101-034@proveedor.example.mx
YOK740703CNK,Servicios Logistica 00001101-043 SA de CV,2023-08-15,"Av. Industria 143, Monterrey, Nuevo Leon",646180000113582249,Logistica,contacto00001101-043@proveedor.example.mx
