entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-02-01,2100,Cuentas por pagar,31086.84,0.00,Pago factura INV-00261,INV-00261,CC-100 Operaciones,Bruno Garcia 02 00001105
2,2026-03-12,2100,Cuentas por pagar,63102.84,0.00,Pago factura INV-00304,INV-00304,CC-100 Operaciones,Bruno Garcia 02 00001105
3,2026-01-17,2100,Cuentas por pagar,0.00,58658.88,Registro factura INV-00054,INV-00054,CC-100 Operaciones,Bruno Garcia 02 00001105
4,2026-02-05,1180,IVA acreditable,2003.04,0.00,Registro factura INV-00202,INV-00202,CC-100 Operaciones,Elena Mora 05 00001105
5,2026-02-09,1020,Bancos,0.00,18597.12,Pago factura INV-00264,INV-00264,CC-100 Operaciones,Bruno Garcia 02 00001105
6,2026-04-16,2100,Cuentas por pagar,0.00,30730.72,Registro factura INV-00063,INV-00063,CC-100 Operaciones,Ana Ruiz 07 00001105
7,2026-05-14,5000,Gastos operativos,48859.00,0.00,Registro factura INV-00323,INV-00323,CC-100 Operaciones,Carla Soto 09 00001105
8,2026-04-16,2100,Cuentas por pagar,86457.12,0.00,Pago factura INV-00238,INV-00238,CC-100 Operaciones,Bruno Garcia 02 00001105
9,2026-04-05,1020,Bancos,0.00,21087.64,Pago factura INV-00051,INV-00051,CC-100 Operaciones,Bruno Garcia 02 00001105
10,2026-02-11,2100,Cuentas por pagar,0.00,81312.52,Registro factura INV-00310,INV-00310,CC-100 Operaciones,Elena Mora 05 00001105
11,2026-01-13,2100,Cuentas por pagar,0.00,74158.80,Registro factura INV-00012,INV-00012,CC-100 Operaciones,Fabian Rios 06 00001105
12,2026-05-18,1020,Bancos,0.00,72701.84,Pago factura INV-00203,INV-00203,CC-100 Operaciones,Bruno Garcia 02 00001105
13,2026-01-28,5000,Gastos operativos,73363.00,0.00,Registro factura INV-00234,INV-00234,CC-100 Operaciones,Carla Soto 03 00001105
14,2026-02-27,1020,Bancos,0.00,58653.08,Pago factura INV-00002,INV-00002,CC-100 Operaciones,Bruno Garcia 02 00001105
15,2026-04-20,2100,Cuentas por pagar,0.00,78117.88,Registro factura INV-00220,INV-00220,CC-100 Operaciones,Carla Soto 03 00001105
16,2026-03-15,2100,Cuentas por pagar,0.00,92663.12,Registro factura INV-00166,INV-00166,CC-100 Operaciones,Ana Ruiz 01 00001105
17,2026-04-13,2100,Cuentas por pagar,0.00,83468.96,Registro factura INV-00235,INV-00235,CC-100 Operaciones,Diego Luna 10 00001105
18,2026-03-25,2100,Cuentas por pagar,92663.12,0.00,Pago factura INV-00166,INV-00166,CC-100 Operaciones,Bruno Garcia 02 00001105
19,2026-03-19,2100,Cuentas por pagar,0.00,65925.12,Registro factura INV-00290,INV-00290,CC-100 Operaciones,Ana Ruiz 07 00001105
20,2026-03-24,2100,Cuentas por pagar,0.00,22043.48,Registro factura INV-00360,INV-00360,CC-100 Operaciones,Diego Luna 10 00001105
21,2026-04-09,1180,IVA acreditable,9148.96,0.00,Registro factura INV-00298,INV-00298,CC-100 Operaciones,Bruno Garcia 02 00001105
22,2026-02-09,5000,Gastos operativos,22226.00,0.00,Registro factura INV-00363,INV-00363,CC-100 Operaciones,Ana Ruiz 01 00001105
23,2026-06-22,2100,Cuentas por pagar,0.00,70968.80,Registro factura INV-00018,INV-00018,CC-100 Operaciones,Diego Luna 10 00001105
24,2026-02-02,1180,IVA acreditable,7732.00,0.00,Registro factura INV-00056,INV-00056,CC-100 Operaciones,Fabian Rios 06 00001105
25,2026-06-16,1180,IVA acreditable,3399.84,0.00,Registro factura INV-00020,INV-00020,CC-100 Operaciones,Diego Luna 10 00001105
26,2026-04-15,5000,Gastos operativos,28134.00,0.00,Registro factura INV-00163,INV-00163,CC-100 Operaciones,Diego Luna 10 00001105
27,2026-04-27,5000,Gastos operativos,23792.00,0.00,Registro factura INV-00055,INV-00055,CC-100 Operaciones,Diego Luna 10 00001105
28,2026-02-09,1180,IVA acreditable,3556.16,0.00,Registro factura INV-00363,INV-00363,CC-100 Operaciones,Ana Ruiz 01 00001105
29,2026-02-14,1020,Bancos,0.00,38447.04,Pago factura INV-00253,INV-00253,CC-100 Operaciones,Bruno Garcia 02 00001105
30,2026-01-14,1180,IVA acreditable,11431.84,0.00,Registro factura INV-00292,INV-00292,CC-100 Operaciones,Elena Mora 05 00001105
31,2026-05-30,5000,Gastos operativos,74334.00,0.00,Registro factura INV-00174,INV-00174,CC-100 Operaciones,Carla Soto 03 00001105
32,2026-06-17,2100,Cuentas por pagar,100737.88,0.00,Pago factura INV-00317,INV-00317,CC-100 Operaciones,Bruno Garcia 02 00001105
33,2026-06-19,2100,Cuentas por pagar,43755.20,0.00,Pago factura INV-00198,INV-00198,CC-100 Operaciones,Bruno Garcia 02 00001105
34,2026-02-19,1020,Bancos,0.00,96059.60,Pago factura INV-00110,INV-00110,CC-100 Operaciones,Bruno Garcia 02 00001105
