uuid,issuer_rfc,receiver_rfc,issue_date,subtotal,iva,total,concepto_text,uso_cfdi,forma_pago,metodo_pago,status
INV-00290,YQS740319CNS,YPD931212BTF,2026-03-19,43091.00,6894.56,49985.56,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00309,YQI940905CIS,YPD931212BTF,2026-05-16,91352.00,14616.32,105968.32,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00035,YPL711212BXF,YPD931212BTF,2026-02-26,84119.00,13459.04,97578.04,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00038,YPQ760319BZS,YPD931212BTF,2026-04-24,45914.00,7346.24,53260.24,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00072,YPY840319CDS,YPD931212BTF,2026-01-27,30331.00,4852.96,35183.96,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00004,YQC880319CFS,YPD931212BTF,2026-03-11,92642.00,14822.72,107464.72,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00102,YPU800319CBS,YPD931212BTF,2026-06-01,87435.00,13989.60,101424.60,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00292,YQF911212CHF,YPD931212BTF,2026-04-17,93427.00,14948.32,108375.32,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00285,YPH971212BVF,YPD931212BTF,2026-01-12,84091.00,13454.56,97545.56,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00093,YPW820905CCS,YPD931212BTF,2026-06-24,85724.00,13715.84,99439.84,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00049,YQP710626CMF,YPD931212BTF,2026-02-13,79210.00,12673.60,91883.60,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00255,YPP751212BZF,YPD931212BTF,2026-04-12,17618.00,2818.88,20436.88,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00181,YPX831212CDF,YPD931212BTF,2026-01-19,80784.00,12925.44,93709.44,Soporte y licencias de tecnologia,G03,03,PPD,vigente
INV-00250,YPL711212BXF,YPD931212BTF,2026-02-24,40714.00,6514.24,47228.24,Servicios de logistica y entrega,G03,03,PPD,vigente
INV-00011,YPK700905BWS,YPD931212BTF,2026-02-11,22397.00,3583.52,25980.52,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00347,YQD890626CGF,YPD931212BTF,2026-03-25,39317.00,6290.72,45607.72,Mantenimiento preventivo de instalaciones,G03,03,PPD,vigente
INV-00206,YPZ850626CEF,YPD931212BTF,2026-02-07,48994.00,7839.04,56833.04,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00013,YQY800905CQS,YPD931212BTF,2026-05-20,48236.00,7717.76,55953.76,Servicios de consultoria operativa,G03,03,PPD,vigente
INV-00040,YPR770626CAF,YPD931212BTF,2026-05-03,77561.00,12409.76,89970.76,Suministro de insumos de produccion,G03,03,PPD,vigente
INV-00218,YQR731212CNF,YPD931212BTF,2026-03-02,19715.00,3154.40,22869.40,Soporte y licencias de tecnologia,G03,03,PPD,vigente
