po_id,vendor_rfc,date,amount,requester,approver,description
PO-00233,YNM800703CBK,2026-06-29,32235.24,Fabian Rios 06 00001101,Ana Ruiz 07 00001101,Suministro de insumos de produccion
PO-00144,YNU880703CFK,2026-04-05,27084.84,Ana Ruiz 07 00001101,Bruno Garcia 08 00001101,Servicios de consultoria operativa
PO-00318,YOK740703CNK,2026-04-06,99229.88,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Servicios de logistica y entrega
PO-00154,YOI720117CMK,2026-03-17,30709.84,Diego Luna 04 00001101,Elena Mora 05 00001101,Mantenimiento preventivo de instalaciones
PO-00199,YNK780117CAK,2026-06-05,17529.92,Diego Luna 10 00001101,Ana Ruiz 01 00001101,Servicios de consultoria operativa
PO-00020,YNI760703BZK,2026-05-12,66425.08,Diego Luna 04 00001101,Elena Mora 05 00001101,Soporte y licencias de tecnologia
PO-00200,YNJ771010BZX,2026-05-24,20229.24,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Mantenimiento preventivo de instalaciones
PO-00279,YNF731010BXX,2026-04-13,101377.04,Carla Soto 09 00001101,Diego Luna 10 00001101,Servicios de consultoria operativa
PO-00263,YNJ771010BZX,2026-05-27,47948.60,Carla Soto 03 00001101,Diego Luna 04 00001101,Mantenimiento preventivo de instalaciones
PO-00258,YOP791010CPX,2026-06-02,67706.88,Ana Ruiz 01 00001101,Bruno Garcia 02 00001101,Servicios de logistica y entrega
PO-00254,YNK780117CAK,2026-06-02,60616.96,Carla Soto 09 00001101,Diego Luna 10 00001101,Servicios de consultoria operativa
PO-00168,YNQ840703CDK,2026-02-19,69785.60,Fabian Rios 06 00001101,Ana Ruiz 07 00001101,Servicios de logistica y entrega
PO-00155,YMW940703BTK,2026-05-05,36332.36,Ana Ruiz 07 00001101,Bruno Garcia 08 00001101,Cuota mensual: servicios de logistica y entrega
PO-00243,YMW940703BTK,2026-04-05,36332.36,Fabian Rios 06 00001101,Ana Ruiz 07 00001101,Cuota mensual: servicios de logistica y entrega
PO-00273,YMZ970424BUX,2026-02-04,73001.12,Carla Soto 09 00001101,Diego Luna 10 00001101,Mantenimiento preventivo de instalaciones
PO-00105,YON770424COX,2026-05-09,29374.68,Elena Mora 05 00001101,Fabian Rios 06 00001101,Mantenimiento preventivo de instalaciones
PO-00315,YOL751010CNX,2026-04-18,89792.12,Diego Luna 10 00001101,Ana Ruiz 01 00001101,Suministro de insumos de produccion
PO-00346,YNI760703BZK,2026-05-13,49950.76,Ana Ruiz 01 00001101,Bruno Garcia 02 00001101,Soporte y licencias de tecnologia
PO-00190,YMX951010BTX,2026-01-11,89314.20,Carla Soto 03 00001101,Diego Luna 04 00001101,Suministro de insumos de produccion
PO-00115,YOI720117CMK,2026-03-15,60705.12,Diego Luna 10 00001101,Ana Ruiz 01 00001101,Mantenimiento preventivo de instalaciones
PO-00274,YNF731010BXX,2026-04-12,74789.84,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Servicios de consultoria operativa
PO-00034,YOC960703CJK,2026-06-29,89294.48,Diego Luna 04 00001101,Elena Mora 05 00001101,Soporte y licencias de tecnologia
PO-00296,YNW900117CGK,2026-04-26,72904.84,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Suministro de insumos de produccion
PO-00042,YNQ840703CDK,2026-02-15,46918.52,Bruno Garcia 08 00001101,Carla Soto 09 00001101,Servicios de logistica y entrega
PO-00260,YNG740117BYK,2026-04-20,79135.20,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Servicios de logistica y entrega
PO-00283,YNA980703BVK,2026-02-11,37869.36,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Servicios de consultoria operativa
PO-00156,YNY920703CHK,2026-05-18,67976.00,Diego Luna 04 00001101,Elena Mora 05 00001101,Mantenimiento preventivo de instalaciones
PO-00232,YOA940117CIK,2026-06-08,84031.56,Carla Soto 09 00001101,Diego Luna 10 00001101,Servicios de logistica y entrega
PO-00303,YND710424BWX,2026-03-21,74801.44,Diego Luna 10 00001101,Ana Ruiz 01 00001101,Soporte y licencias de tecnologia
PO-00347,YNQ840703CDK,2026-02-17,86273.84,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Servicios de logistica y entrega
PO-00025,YNV891010CFX,2026-04-16,80370.60,Bruno Garcia 08 00001101,Carla Soto 09 00001101,Servicios de logistica y entrega
PO-00219,YNC700117BWK,2026-03-08,50710.56,Elena Mora 05 00001101,Fabian Rios 06 00001101,Suministro de insumos de produccion
PO-00206,YNR851010CDX,2026-02-27,76939.32,Fabian Rios 06 00001101,Ana Ruiz 07 00001101,Suministro de insumos de produccion
PO-00213,YOR810424CQX,2026-06-23,56199.68,Fabian Rios 06 00001101,Ana Ruiz 07 00001101,Soporte y licencias de tecnologia
PO-00011,YNY920703CHK,2026-05-14,107758.20,Fabian Rios 06 00001101,Ana Ruiz 07 00001101,Mantenimiento preventivo de instalaciones
PO-00294,YOQ800117CQK,2026-06-11,77476.40,Bruno Garcia 08 00001101,Carla Soto 09 00001101,Suministro de insumos de produccion
PO-00202,YNA980703BVK,2026-02-16,31048.56,Ana Ruiz 07 00001101,Bruno Garcia 08 00001101,Servicios de consultoria operativa
PO-00112,YOK740703CNK,2026-04-04,36745.32,Bruno Garcia 08 00001101,Carla Soto 09 00001101,Servicios de logistica y entrega
PO-00162,YMU920117BSK,2026-05-05,34496.08,Elena Mora 05 00001101,Fabian Rios 06 00001101,Cuota mensual: mantenimiento preventivo de instalaciones
PO-00029,YOB950424CIX,2026-06-17,71979.16,Fabian Rios 06 00001101,Ana Ruiz 07 00001101,Suministro de insumos de produccion
PO-00259,YOD971010CJX,2026-01-20,42295.92,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Mantenimiento preventivo de instalaciones
PO-00217,YOA940117CIK,2026-06-07,96382.08,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Servicios de logistica y entrega
PO-00302,YNG740117BYK,2026-04-22,80224.44,Fabian Rios 06 00001101,Ana Ruiz 07 00001101,Servicios de logistica y entrega
PO-00330,YNM800703CBK,2026-06-28,28877.04,Carla Soto 09 00001101,Diego Luna 10 00001101,Suministro de insumos de produccion
PO-00019,YMU920117BSK,2026-02-05,34496.08,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Cuota mensual: mantenimiento preventivo de instalaciones
PO-00240,YNA980703BVK,2026-02-12,34128.36,Carla Soto 09 00001101,Diego Luna 10 00001101,Servicios de consultoria operativa
PO-00212,YNS860117CEK,2026-03-14,101343.40,Elena Mora 05 00001101,Fabian Rios 06 00001101,Soporte y licencias de tecnologia
PO-00172,YNS860117CEK,2026-03-10,32716.64,Ana Ruiz 07 00001101,Bruno Garcia 08 00001101,Soporte y licencias de tecnologia
PO-00335,YOB950424CIX,2026-06-19,79980.84,Diego Luna 10 00001101,Ana Ruiz 01 00001101,Suministro de insumos de produccion
PO-00300,YOR810424CQX,2026-06-24,100474.56,Carla Soto 03 00001101,Diego Luna 04 00001101,Soporte y licencias de tecnologia
PO-00037,YOM760117COK,2026-05-01,49947.28,Elena Mora 05 00001101,Fabian Rios 06 00001101,Soporte y licencias de tecnologia
PO-00081,YNC700117BWK,2026-03-12,72900.20,Carla Soto 03 00001101,Diego Luna 04 00001101,Suministro de insumos de produccion
PO-00220,YNW900117CGK,2026-04-22,94194.32,Diego Luna 04 00001101,Elena Mora 05 00001101,Suministro de insumos de produccion
PO-00141,YOO780703CPK,2026-05-24,73226.16,Diego Luna 04 00001101,Elena Mora 05 00001101,Servicios de consultoria operativa
PO-00227,YMV930424BSX,2026-06-05,51930.88,Bruno Garcia 02 00001101,Carla Soto 03 00001101,Cuota mensual: servicios de consultoria operativa
PO-00163,YOF990424CKX,2026-02-08,27458.36,Carla Soto 03 00001101,Diego Luna 04 00001101,Servicios de logistica y entrega
