entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-05-24,1020,Bancos,0.00,79991.28,Pago factura INV-00173,INV-00173,CC-100 Operaciones,Bruno Garcia 02 00001001
2,2026-06-28,5000,Gastos operativos,51400.00,0.00,Registro factura INV-00219,INV-00219,CC-100 Operaciones,Diego Luna 10 00001001
3,2026-01-14,2100,Cuentas por pagar,0.00,85514.04,Registro factura INV-00267,INV-00267,CC-100 Operaciones,Elena Mora 05 00001001
4,2026-05-04,1020,Bancos,0.00,65400.80,Pago factura INV-00130,INV-00130,CC-100 Operaciones,Bruno Garcia 02 00001001
5,2026-04-22,2100,Cuentas por pagar,93101.60,0.00,Pago factura INV-00237,INV-00237,CC-100 Operaciones,Bruno Garcia 02 00001001
6,2026-05-02,5000,Gastos operativos,70725.00,0.00,Registro factura INV-00212,INV-00212,CC-100 Operaciones,Ana Ruiz 01 00001001
7,2026-06-02,2100,Cuentas por pagar,0.00,82009.68,Registro factura INV-00187,INV-00187,CC-100 Operaciones,Bruno Garcia 02 00001001
8,2026-06-16,1180,IVA acreditable,13308.32,0.00,Registro factura INV-00028,INV-00028,CC-100 Operaciones,Diego Luna 10 00001001
9,2026-04-15,2100,Cuentas por pagar,51160.64,0.00,Pago factura INV-00319,INV-00319,CC-100 Operaciones,Bruno Garcia 02 00001001
10,2026-04-12,2100,Cuentas por pagar,0.00,82647.68,Registro factura INV-00306,INV-00306,CC-100 Operaciones,Ana Ruiz 01 00001001
11,2026-04-06,1020,Bancos,0.00,43341.08,Pago factura INV-00323,INV-00323,CC-100 Operaciones,Bruno Garcia 02 00001001
12,2026-06-11,1020,Bancos,0.00,18577.40,Pago factura INV-00352,INV-00352,CC-100 Operaciones,Bruno Garcia 02 00001001
13,2026-03-19,2100,Cuentas por pagar,0.00,55425.96,Registro factura INV-00179,INV-00179,CC-100 Operaciones,Carla Soto 09 00001001
14,2026-03-08,2100,Cuentas por pagar,105479.96,0.00,Pago factura INV-00350,INV-00350,CC-100 Operaciones,Bruno Garcia 02 00001001
15,2026-01-12,2100,Cuentas por pagar,13865.01,0.00,Pago factura INV-00284,INV-00284,CC-100 Operaciones,Bruno Garcia 02 00001001
16,2026-06-30,2100,Cuentas por pagar,53234.72,0.00,Pago factura INV-00308,INV-00308,CC-100 Operaciones,Bruno Garcia 02 00001001
17,2026-05-05,1020,Bancos,0.00,54783.32,Pago factura INV-00120,INV-00120,CC-100 Operaciones,Bruno Garcia 02 00001001
18,2026-04-06,5000,Gastos operativos,55627.00,0.00,Registro factura INV-00248,INV-00248,CC-100 Operaciones,Carla Soto 03 00001001
19,2026-02-26,5000,Gastos operativos,14489.00,0.00,Registro factura INV-00280,INV-00280,CC-100 Operaciones,Diego Luna 10 00001001
20,2026-02-04,1020,Bancos,0.00,28125.36,Pago factura INV-00205,INV-00205,CC-100 Operaciones,Bruno Garcia 02 00001001
21,2026-03-13,2100,Cuentas por pagar,0.00,54663.84,Registro factura INV-00141,INV-00141,CC-100 Operaciones,Carla Soto 09 00001001
22,2026-03-03,1020,Bancos,0.00,88448.84,Pago factura INV-00158,INV-00158,CC-100 Operaciones,Bruno Garcia 02 00001001
23,2026-01-29,5000,Gastos operativos,24158.00,0.00,Registro factura INV-00244,INV-00244,CC-100 Operaciones,Bruno Garcia 02 00001001
24,2026-01-23,2100,Cuentas por pagar,0.00,81262.64,Registro factura INV-00007,INV-00007,CC-100 Operaciones,Bruno Garcia 02 00001001
25,2026-01-29,2100,Cuentas por pagar,75319.96,0.00,Pago factura INV-00225,INV-00225,CC-100 Operaciones,Bruno Garcia 02 00001001
26,2026-01-31,2100,Cuentas por pagar,45201.72,0.00,Pago factura INV-00021,INV-00021,CC-100 Operaciones,Bruno Garcia 02 00001001
27,2026-06-27,1020,Bancos,0.00,54161.56,Pago factura INV-00305,INV-00305,CC-100 Operaciones,Bruno Garcia 02 00001001
28,2026-02-23,1180,IVA acreditable,6492.32,0.00,Registro factura INV-00110,INV-00110,CC-100 Operaciones,Ana Ruiz 01 00001001
29,2026-05-24,2100,Cuentas por pagar,0.00,57780.76,Registro factura INV-00095,INV-00095,CC-100 Operaciones,Elena Mora 05 00001001
30,2026-06-03,2100,Cuentas por pagar,57780.76,0.00,Pago factura INV-00095,INV-00095,CC-100 Operaciones,Bruno Garcia 02 00001001
31,2026-04-05,2100,Cuentas por pagar,0.00,51160.64,Registro factura INV-00319,INV-00319,CC-100 Operaciones,Elena Mora 05 00001001
32,2026-03-05,2100,Cuentas por pagar,0.00,92064.56,Registro factura INV-00347,INV-00347,CC-100 Operaciones,Ana Ruiz 07 00001001
33,2026-06-07,1180,IVA acreditable,11140.00,0.00,Registro factura INV-00062,INV-00062,CC-100 Operaciones,Elena Mora 05 00001001
34,2026-03-22,5000,Gastos operativos,22046.00,0.00,Registro factura INV-00197,INV-00197,CC-100 Operaciones,Bruno Garcia 08 00001001
35,2026-02-24,1020,Bancos,0.00,35252.40,Pago factura INV-00026,INV-00026,CC-100 Operaciones,Bruno Garcia 02 00001001
36,2026-04-27,5000,Gastos operativos,34217.00,0.00,Registro factura INV-00317,INV-00317,CC-100 Operaciones,Diego Luna 10 00001001
37,2026-03-02,2100,Cuentas por pagar,109811.40,0.00,Pago factura INV-00344,INV-00344,CC-100 Operaciones,Bruno Garcia 02 00001001
38,2026-03-11,5000,Gastos operativos,51899.00,0.00,Registro factura INV-00318,INV-00318,CC-100 Operaciones,Elena Mora 05 00001001
39,2026-04-08,1020,Bancos,0.00,59806.12,Pago factura INV-00019,INV-00019,CC-100 Operaciones,Bruno Garcia 02 00001001
40,2026-06-24,1020,Bancos,0.00,33105.24,Pago factura INV-00220,INV-00220,CC-100 Operaciones,Bruno Garcia 02 00001001
41,2026-05-20,1020,Bancos,0.00,106330.24,Pago factura INV-00121,INV-00121,CC-100 Operaciones,Bruno Garcia 02 00001001
42,2026-06-09,1180,IVA acreditable,14070.24,0.00,Registro factura INV-00218,INV-00218,CC-100 Operaciones,Elena Mora 05 00001001
43,2026-02-17,1180,IVA acreditable,12594.72,0.00,Registro factura INV-00348,INV-00348,CC-100 Operaciones,Elena Mora 05 00001001
44,2026-01-10,1180,IVA acreditable,10781.76,0.00,Registro factura INV-00075,INV-00075,CC-100 Operaciones,Carla Soto 09 00001001
45,2026-02-08,2100,Cuentas por pagar,0.00,60538.08,Registro factura INV-00072,INV-00072,CC-100 Operaciones,Diego Luna 04 00001001
46,2026-01-15,2100,Cuentas por pagar,0.00,97089.68,Registro factura INV-00216,INV-00216,CC-100 Operaciones,Bruno Garcia 02 00001001
47,2026-04-08,2100,Cuentas por pagar,109526.04,0.00,Pago factura INV-00012,INV-00012,CC-100 Operaciones,Bruno Garcia 02 00001001
