entry_id,date,account_code,account_name,debit,credit,description,invoice_uuid,cost_center,approver
1,2026-02-01,1180,IVA acreditable,7987.36,0.00,Registro factura INV-00242,INV-00242,CC-100 Operaciones,Ana Ruiz 01 00001202
2,2026-05-05,5000,Gastos operativos,31627.00,0.00,Registro factura INV-00338,INV-00338,CC-100 Operaciones,Bruno Garcia 08 00001202
3,2026-01-30,1050,Cuentas por cobrar,44080.00,0.00,Registro venta INV-00328,INV-00328,CC-100 Operaciones,Bruno Garcia 02 00001202
4,2026-01-19,2100,Cuentas por pagar,88264.40,0.00,Pago factura INV-00111,INV-00111,CC-100 Operaciones,Bruno Garcia 02 00001202
5,2026-02-21,5000,Gastos operativos,40109.00,0.00,Registro factura INV-00031,INV-00031,CC-100 Operaciones,Diego Luna 04 00001202
6,2026-02-07,1020,Bancos,0.00,93675.80,Pago factura INV-00125,INV-00125,CC-100 Operaciones,Bruno Garcia 02 00001202
7,2026-03-18,2100,Cuentas por pagar,91229.36,0.00,Pago factura INV-00127,INV-00127,CC-100 Operaciones,Bruno Garcia 02 00001202
8,2026-02-24,2100,Cuentas por pagar,0.00,38593.20,Registro factura INV-00141,INV-00141,CC-100 Operaciones,Diego Luna 10 00001202
9,2026-01-12,5000,Gastos operativos,69227.00,0.00,Registro factura INV-00352,INV-00352,CC-100 Operaciones,Carla Soto 03 00001202
10,2026-03-28,1180,IVA acreditable,13603.36,0.00,Registro factura INV-00122,INV-00122,CC-100 Operaciones,Diego Luna 04 00001202
11,2026-01-29,2100,Cuentas por pagar,0.00,48716.52,Registro factura INV-00049,INV-00049,CC-100 Operaciones,Bruno Garcia 02 00001202
12,2026-03-04,2100,Cuentas por pagar,0.00,60255.04,Registro factura INV-00351,INV-00351,CC-100 Operaciones,Diego Luna 10 00001202
13,2026-04-02,1180,IVA acreditable,9600.00,0.00,Registro factura INV-00118,INV-00118,CC-100 Operaciones,Ana Ruiz 07 00001202
14,2026-02-14,2100,Cuentas por pagar,41562.80,0.00,Pago factura INV-00194,INV-00194,CC-100 Operaciones,Bruno Garcia 02 00001202
15,2026-05-18,2100,Cuentas por pagar,86729.72,0.00,Pago factura INV-00084,INV-00084,CC-100 Operaciones,Bruno Garcia 02 00001202
16,2026-03-04,2100,Cuentas por pagar,15923.32,0.00,Pago factura INV-00099,INV-00099,CC-100 Operaciones,Bruno Garcia 02 00001202
17,2026-03-19,1020,Bancos,0.00,38196.48,Pago factura INV-00158,INV-00158,CC-100 Operaciones,Bruno Garcia 02 00001202
18,2026-05-21,2100,Cuentas por pagar,0.00,41870.20,Registro factura INV-00285,INV-00285,CC-100 Operaciones,Bruno Garcia 02 00001202
19,2026-06-03,1180,IVA acreditable,6397.28,0.00,Registro factura INV-00172,INV-00172,CC-100 Operaciones,Carla Soto 09 00001202
20,2026-06-15,1020,Bancos,0.00,38775.32,Pago factura INV-00230,INV-00230,CC-100 Operaciones,Bruno Garcia 02 00001202
21,2026-02-24,5000,Gastos operativos,33270.00,0.00,Registro factura INV-00141,INV-00141,CC-100 Operaciones,Diego Luna 10 00001202
22,2026-06-28,1180,IVA acreditable,11593.12,0.00,Registro factura INV-00282,INV-00282,CC-100 Operaciones,Bruno Garcia 08 00001202
23,2026-06-15,2100,Cuentas por pagar,79951.84,0.00,Pago factura INV-00358,INV-00358,CC-100 Operaciones,Bruno Garcia 02 00001202
24,2026-06-08,5000,Gastos operativos,28750.00,0.00,Registro factura INV-00268,INV-00268,CC-100 Operaciones,Diego Luna 10 00001202
25,2026-05-18,5000,Gastos operativos,12885.00,0.00,Registro factura INV-00266,INV-00266,CC-100 Operaciones,Carla Soto 03 00001202
26,2026-02-26,1180,IVA acreditable,3788.96,0.00,Registro factura INV-00061,INV-00061,CC-100 Operaciones,Bruno Garcia 02 00001202
27,2026-06-30,2100,Cuentas por pagar,76901.04,0.00,Pago factura INV-00284,INV-00284,CC-100 Operaciones,Bruno Garcia 02 00001202
28,2026-04-25,2100,Cuentas por pagar,0.00,26805.28,Registro factura INV-00097,INV-00097,CC-100 Operaciones,Fabian Rios 06 00001202
29,2026-04-17,2100,Cuentas por pagar,38610.60,0.00,Pago factura INV-00333,INV-00333,CC-100 Operaciones,Bruno Garcia 02 00001202
30,2026-02-11,5000,Gastos operativos,52340.00,0.00,Registro factura INV-00189,INV-00189,CC-100 Operaciones,Carla Soto 03 00001202
31,2026-06-02,2100,Cuentas por pagar,104306.04,0.00,Pago factura INV-00219,INV-00219,CC-100 Operaciones,Bruno Garcia 02 00001202
32,2026-01-19,2100,Cuentas por pagar,46998.56,0.00,Pago factura INV-00183,INV-00183,CC-100 Operaciones,Bruno Garcia 02 00001202
33,2026-01-05,2100,Cuentas por pagar,0.00,36687.32,Registro factura INV-00299,INV-00299,CC-100 Operaciones,Diego Luna 04 00001202
34,2026-06-03,2100,Cuentas por pagar,18909.16,0.00,Pago factura INV-00146,INV-00146,CC-100 Operaciones,Bruno Garcia 02 00001202
35,2026-03-19,2100,Cuentas por pagar,0.00,70101.12,Registro factura INV-00133,INV-00133,CC-100 Operaciones,Ana Ruiz 07 00001202
36,2026-04-25,2100,Cuentas por pagar,36954.12,0.00,Pago factura INV-00260,INV-00260,CC-100 Operaciones,Bruno Garcia 02 00001202
37,2026-03-17,5000,Gastos operativos,72514.00,0.00,Registro factura INV-00209,INV-00209,CC-100 Operaciones,Elena Mora 05 00001202
38,2026-04-21,1180,IVA acreditable,14930.88,0.00,Registro factura INV-00069,INV-00069,CC-100 Operaciones,Bruno Garcia 02 00001202
39,2026-03-07,1020,Bancos,0.00,78323.20,Pago factura INV-00206,INV-00206,CC-100 Operaciones,Bruno Garcia 02 00001202
40,2026-02-25,1020,Bancos,0.00,84692.76,Pago factura INV-00047,INV-00047,CC-100 Operaciones,Bruno Garcia 02 00001202
41,2026-04-01,1020,Bancos,0.00,62608.68,Pago factura INV-00370,INV-00370,CC-100 Operaciones,Bruno Garcia 02 00001202
