rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
DHM941115FGG,Servicios Tecnologia 00001204-050 SA de CV,2020-06-15,"Av. Industria 150, Monterrey, Nuevo Leon",646180000124443788,Tecnologia,contacto00001204-050@proveedor.example.mx
DGC881115EOG,Servicios Insumos 00001204-014 SA de CV,2024-06-15,"Av. Industria 114, Monterrey, Nuevo Leon",646180000121592946,Insumos,contacto00001204-014@proveedor.example.mx
DGU760501EXG,Servicios Consultoria 00001204-032 SA de CV,2022-06-15,"Av. Industria 132, Monterrey, Nuevo Leon",646180000123018363,Consultoria,contacto00001204-032@proveedor.example.mx
DGK961115ESG,Servicios Consultoria 00001204-022 SA de CV,2022-05-15,"Av. Industria 122, Monterrey, Nuevo Leon",646180000122226460,Consultoria,contacto00001204-022@proveedor.example.mx
DGH930222EQT,Servicios Insumos 00001204-019 SA de CV,2024-02-15,"Av. Industria 119, Monterrey, Nuevo Leon",646180000121988893,Insumos,contacto00001204-019@proveedor.example.mx
DGT750222EWT,Servicios Mantenimiento 00001204-031 SA de CV,2021-05-15,"Av. Industria 131, Monterrey, Nuevo Leon",646180000122939171,Mantenimiento,contacto00001204-031@proveedor.example.mx
DFS780501EJG,Servicios Insumos 00001204-004 SA de CV,2024-05-15,"Av. Industria 104, Monterrey, Nuevo Leon",646180000120801049,Insumos,contacto00001204-004@proveedor.example.mx
DHE861115FCG,Servicios Consultoria 00001204-042 SA de CV,2022-07-15,"Av. Industria 142, Monterrey, Nuevo Leon",646180000123810260,Consultoria,contacto00001204-042@proveedor.example.mx
DGM980501ETG,Servicios Insumos 00001204-024 SA de CV,2024-07-15,"Av. Industria 124, Monterrey, Nuevo Leon",646180000122384849,Insumos,contacto00001204-024@proveedor.example.mx
DFX830808ELT,Servicios Insumos 00001204-009 SA de CV,2024-01-15,"Av. Industria 109, Monterrey, Nuevo Leon",646180000121196999,Insumos,contacto00001204-009@proveedor.example.mx
DHH890808FDT,Servicios Tecnologia 00001204-045 SA de CV,2020-01-15,"Av. Industria 145, Monterrey, Nuevo Leon",646180000124047838,Tecnologia,contacto00001204-045@proveedor.example.mx
DGY800501EZG,Servicios Mantenimiento 00001204-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000123335127,Mantenimiento,contacto00001204-036@proveedor.example.mx
DGN990808ETT,Servicios Tecnologia 00001204-025 SA de CV,2020-08-15,"Av. Industria 125, Monterrey, Nuevo Leon",646180000122464031,Tecnologia,contacto00001204-025@proveedor.example.mx
DGZ810808EZT,Servicios Consultoria 00001204-037 SA de CV,2022-02-15,"Av. Industria 137, Monterrey, Nuevo Leon",646180000123414310,Consultoria,contacto00001204-037@proveedor.example.mx
DGQ720501EVG,Servicios Logistica 00001204-028 SA de CV,2023-02-15,"Av. Industria 128, Monterrey, Nuevo Leon",646180000122701600,Logistica,contacto00001204-028@proveedor.example.mx
DHJ910222FET,Servicios Consultoria 00001204-047 SA de CV,2022-03-15,"Av. Industria 147, Monterrey, Nuevo Leon",646180000124206213,Consultoria,contacto00001204-047@proveedor.example.mx
DGB870808ENT,Servicios Logistica 00001204-013 SA de CV,2023-05-15,"Av. Industria 113, Monterrey, Nuevo Leon",646180000121513750,Logistica,contacto00001204-013@proveedor.example.mx
DFT790808EJT,Servicios Tecnologia 00001204-005 SA de CV,2020-06-15,"Av. Industria 105, Monterrey, Nuevo Leon",646180000120880235,Tecnologia,contacto00001204-005@proveedor.example.mx
DHC840501FBG,Servicios Tecnologia 00001204-040 SA de CV,2020-05-15,"Av. Industria 140, Monterrey, Nuevo Leon",646180000123651885,Tecnologia,contacto00001204-040@proveedor.example.mx
DGX790222EYT,Servicios Tecnologia 00001204-035 SA de CV,2020-09-15,"Av. Industria 135, Monterrey, Nuevo Leon",646180000123255935,Tecnologia,contacto00001204-035@proveedor.example.mx
DHS700501FJG,Servicios Mantenimiento 00001204-056 SA de CV,2021-03-15,"Av. Industria 156, Monterrey, Nuevo Leon",646180000124918925,Mantenimiento,contacto00001204-056@proveedor.example.mx
DGI940501ERG,Servicios Tecnologia 00001204-020 SA de CV,2020-03-15,"Av. Industria 120, Monterrey, Nuevo Leon",646180000122068084,Tecnologia,contacto00001204-020@proveedor.example.mx
DHA821115FAG,Servicios Logistica 00001204-038 SA de CV,2023-03-15,"Av. Industria 138, Monterrey, Nuevo Leon",646180000123493506,Logistica,contacto00001204-038@proveedor.example.mx
DFQ761115EIG,Servicios Consultoria 00001204-002 SA de CV,2022-03-15,"Av. Industria 102, Monterrey, Nuevo Leon",646180000120642664,Consultoria,contacto00001204-002@proveedor.example.mx
DGO701115EUG,Servicios Mantenimiento 00001204-026 SA de CV,2021-09-15,"Av. Industria 126, Monterrey, Nuevo Leon",646180000122543224,Mantenimiento,contacto00001204-026@proveedor.example.mx
DHN950222FGT,Servicios Consultoria 00001204-051 SA de CV,2021-07-15,"Av. Industria 151, Monterrey, Nuevo Leon",646180008039642663,Consultoria,contacto00001204-051@proveedor.example.mx
DFU801115EKG,Servicios Mantenimiento 00001204-006 SA de CV,2021-07-15,"Av. Industria 106, Monterrey, Nuevo Leon",646180000120959425,Mantenimiento,contacto00001204-006@proveedor.example.mx
DGA860501ENG,Servicios Consultoria 00001204-012 SA de CV,2022-04-15,"Av. Industria 112, Monterrey, Nuevo Leon",646180000121434567,Consultoria,contacto00001204-012@proveedor.example.mx
